safety_margin,perturbations,probe_steps,estimator_method,L_pred,L_actual,bound_holds,max_bound_ratio,final_bound_ratio,predicted_dangerous,actual_dangerous,false_negative,false_positive,runtime_seconds
1.0,3,1,clean_state_L,0.7432523955888518,0.9938105561960218,False,4137411734534.42,4137411734534.42,False,True,True,False,0.0019199999996999395
1.0,3,1,rewritten_state_L,0.7099584111357284,0.9938105561960218,False,404640760326305.25,404640760326305.25,False,True,True,False,0.0020583000004990026
1.0,3,1,max_clean_rewritten_L,0.7432523955888518,0.9938105561960218,False,4137411734534.42,4137411734534.42,False,True,True,False,0.003978300000198942
1.0,3,1,longer_horizon_L,0.898080203989515,0.9938105561960218,False,25052.331849345086,25052.331849345086,False,True,True,False,0.014095300000008137
1.03,3,1,clean_state_L,0.7655499674565174,0.9938105561960218,False,215281282177.4051,215281282177.4051,False,True,True,False,0.0019199999996999395
1.03,3,1,rewritten_state_L,0.7312571634698003,0.9938105561960218,False,21054607878925.54,21054607878925.54,False,True,True,False,0.0020583000004990026
1.03,3,1,max_clean_rewritten_L,0.7655499674565174,0.9938105561960218,False,215281282177.4051,215281282177.4051,False,True,True,False,0.003978300000198942
1.03,3,1,longer_horizon_L,0.9250226101092005,0.9938105561960218,False,1303.5439709912653,1303.5439709912653,False,True,True,False,0.014095300000008137
1.08,3,1,clean_state_L,0.8027125872359601,0.9938105561960218,False,1880845806.6107764,1880845806.6107764,False,True,True,False,0.0019199999996999395
1.08,3,1,rewritten_state_L,0.7667550840265868,0.9938105561960218,False,183947580293.0157,183947580293.0157,False,True,True,False,0.0020583000004990026
1.08,3,1,max_clean_rewritten_L,0.8027125872359601,0.9938105561960218,False,1880845806.6107764,1880845806.6107764,False,True,True,False,0.003978300000198942
1.08,3,1,longer_horizon_L,0.9699266203086763,0.9938105561960218,False,23.429957565781727,11.388659463442366,False,True,True,False,0.014095300000008137
1.15,3,1,clean_state_L,0.8547402549271795,0.9938105561960218,False,3523260.1074842024,3523260.1074842024,False,True,True,False,0.0019199999996999395
1.15,3,1,rewritten_state_L,0.8164521728060876,0.9938105561960218,False,344576450.2527045,344576450.2527045,False,True,True,False,0.0020583000004990026
