model,dataset,epsilon,margin,sensitivity,specificity,false_positive_rate,false_negative_rate,coverage_rate,abstention_rate,num_cases,notes
mnist_mlp,real MNIST train split,0.5,1.05,1.0,0.5294117647058824,0.47058823529411764,0.0,1.0,0.0,36,tp=19 tn=9 fp=8 fn=0 abst=0
mnist_mlp,real MNIST train split,0.5,1.1,1.0,0.5294117647058824,0.47058823529411764,0.0,1.0,0.0,36,tp=19 tn=9 fp=8 fn=0 abst=0
mnist_mlp,real MNIST train split,0.5,1.25,1.0,0.5294117647058824,0.47058823529411764,0.0,1.0,0.0,36,tp=19 tn=9 fp=8 fn=0 abst=0
mnist_mlp,real MNIST train split,0.5,1.5,1.0,0.5294117647058824,0.47058823529411764,0.0,1.0,0.0,36,tp=19 tn=9 fp=8 fn=0 abst=0
mnist_mlp,real MNIST train split,0.5,2.0,1.0,0.5294117647058824,0.47058823529411764,0.0,0.9166666666666666,0.08333333333333333,36,tp=16 tn=9 fp=8 fn=0 abst=3
mnist_mlp,real MNIST train split,1.0,1.0,1.0,0.5294117647058824,0.47058823529411764,0.0,1.0,0.0,36,tp=19 tn=9 fp=8 fn=0 abst=0
mnist_mlp,real MNIST train split,1.0,1.05,1.0,0.5294117647058824,0.47058823529411764,0.0,1.0,0.0,36,tp=19 tn=9 fp=8 fn=0 abst=0
mnist_mlp,real MNIST train split,1.0,1.1,1.0,0.5294117647058824,0.47058823529411764,0.0,1.0,0.0,36,tp=19 tn=9 fp=8 fn=0 abst=0
mnist_mlp,real MNIST train split,1.0,1.25,1.0,0.5294117647058824,0.47058823529411764,0.0,1.0,0.0,36,tp=19 tn=9 fp=8 fn=0 abst=0
mnist_mlp,real MNIST train split,1.0,1.5,1.0,0.5294117647058824,0.47058823529411764,0.0,1.0,0.0,36,tp=19 tn=9 fp=8 fn=0 abst=0
mnist_mlp,real MNIST train split,1.0,2.0,1.0,0.5294117647058824,0.47058823529411764,0.0,0.9166666666666666,0.08333333333333333,36,tp=16 tn=9 fp=8 fn=0 abst=3
quadratic,"synthetic_quadratic(n=20,kappa=30)",0.001,1.0,0.75,1.0,0.0,0.25,0.5833333333333334,0.4166666666666667,36,tp=9 tn=9 fp=0 fn=3 abst=15
quadratic,"synthetic_quadratic(n=20,kappa=30)",0.001,1.05,1.0,1.0,0.0,0.0,0.6944444444444444,0.3055555555555556,36,tp=16 tn=9 fp=0 fn=0 abst=11
quadratic,"synthetic_quadratic(n=20,kappa=30)",0.001,1.1,1.0,1.0,0.0,0.0,0.9444444444444444,0.05555555555555555,36,tp=25 tn=9 fp=0 fn=0 abst=2
quadratic,"synthetic_quadratic(n=20,kappa=30)",0.001,1.25,1.0,1.0,0.0,0.0,1.0,0.0,36,tp=27 tn=9 fp=0 fn=0 abst=0
quadratic,"synthetic_quadratic(n=20,kappa=30)",0.001,1.5,1.0,1.0,0.0,0.0,1.0,0.0,36,tp=27 tn=9 fp=0 fn=0 abst=0
quadratic,"synthetic_quadratic(n=20,kappa=30)",0.001,2.0,1.0,1.0,0.0,0.0,1.0,0.0,36,tp=27 tn=9 fp=0 fn=0 abst=0
quadratic,"synthetic_quadratic(n=20,kappa=30)",0.005,1.0,0.47368421052631576,1.0,0.0,0.5263157894736842,0.7777777777777778,0.2222222222222222,36,tp=9 tn=9 fp=0 fn=10 abst=8
quadratic,"synthetic_quadratic(n=20,kappa=30)",0.005,1.05,0.9411764705882353,1.0,0.0,0.058823529411764705,0.7222222222222222,0.2777777777777778,36,tp=16 tn=9 fp=0 fn=1 abst=10
quadratic,"synthetic_quadratic(n=20,kappa=30)",0.005,1.1,1.0,1.0,0.0,0.0,0.9444444444444444,0.05555555555555555,36,tp=25 tn=9 fp=0 fn=0 abst=2
quadratic,"synthetic_quadratic(n=20,kappa=30)",0.005,1.25,1.0,1.0,0.0,0.0,1.0,0.0,36,tp=27 tn=9 fp=0 fn=0 abst=0
quadratic,"synthetic_quadratic(n=20,kappa=30)",0.005,1.5,1.0,1.0,0.0,0.0,1.0,0.0,36,tp=27 tn=9 fp=0 fn=0 abst=0
quadratic,"synthetic_quadratic(n=20,kappa=30)",0.005,2.0,1.0,1.0,0.0,0.0,1.0,0.0,36,tp=27 tn=9 fp=0 fn=0 abst=0
quadratic,"synthetic_quadratic(n=20,kappa=30)",0.01,1.0,0.375,1.0,0.0,0.625,0.9166666666666666,0.08333333333333333,36,tp=9 tn=9 fp=0 fn=15 abst=3
quadratic,"synthetic_quadratic(n=20,kappa=30)",0.01,1.05,0.7619047619047619,1.0,0.0,0.23809523809523808,0.8333333333333334,0.16666666666666666,36,tp=16 tn=9 fp=0 fn=5 abst=6
quadratic,"synthetic_quadratic(n=20,kappa=30)",0.01,1.1,1.0,1.0,0.0,0.0,0.9444444444444444,0.05555555555555555,36,tp=25 tn=9 fp=0 fn=0 abst=2
quadratic,"synthetic_quadratic(n=20,kappa=30)",0.01,1.25,1.0,1.0,0.0,0.0,1.0,0.0,36,tp=27 tn=9 fp=0 fn=0 abst=0
quadratic,"synthetic_quadratic(n=20,kappa=30)",0.01,1.5,1.0,1.0,0.0,0.0,1.0,0.0,36,tp=27 tn=9 fp=0 fn=0 abst=0
quadratic,"synthetic_quadratic(n=20,kappa=30)",0.01,2.0,1.0,1.0,0.0,0.0,1.0,0.0,36,tp=27 tn=9 fp=0 fn=0 abst=0
quadratic,"synthetic_quadratic(n=20,kappa=30)",0.05,1.0,0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.0,36,tp=9 tn=9 fp=0 fn=18 abst=0
quadratic,"synthetic_quadratic(n=20,kappa=30)",0.05,1.05,0.6666666666666666,1.0,0.0,0.3333333333333333,0.9166666666666666,0.08333333333333333,36,tp=16 tn=9 fp=0 fn=8 abst=3
