model,dataset,seed,scenario,bound_type,delta,final_bound,max_bound,actual_final_divergence,actual_max_divergence,looseness_final,looseness_max,bound_holds,certifies_safe,abstains,runtime_seconds
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,exact_restore,A_fixed_clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,0.13611129999844707
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,exact_restore,B_fixed_rewritten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,0.13611129999844707
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,exact_restore,C_fixed_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,0.13611129999844707
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,exact_restore,D_stepwise_product,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,0.5501152416651773
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,exact_restore,E_empirical_envelope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0.13611129999844707
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,noop_restore,A_fixed_clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,0.13484319999952277
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,noop_restore,B_fixed_rewritten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,0.13484319999952277
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,noop_restore,C_fixed_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,0.13484319999952277
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,noop_restore,D_stepwise_product,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,0.548847141666253
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,noop_restore,E_empirical_envelope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0.13484319999952277
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,A_fixed_clean,0.037023723125457764,0.07935720339307516,0.07935720339307516,0.03056841529905796,0.15064282715320587,2.596052252519637,0.5267904545655384,False,False,False,0.1351212999998097
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,B_fixed_rewritten,0.037023723125457764,0.08786310773517302,0.08786310773517302,0.03056841529905796,0.15064282715320587,2.8743101948723107,0.583254506009868,False,False,False,0.1351212999998097
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,C_fixed_max,0.037023723125457764,0.08786310773517302,0.08786310773517302,0.03056841529905796,0.15064282715320587,2.8743101948723107,0.583254506009868,False,False,False,0.1351212999998097
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,D_stepwise_product,0.037023723125457764,0.07925672432873111,0.07925672432873111,0.03056841529905796,0.15064282715320587,2.5927652301679376,0.5261234525831483,False,False,False,0.54912524166654
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,E_empirical_envelope,0.037023723125457764,0.033934702949344565,0.16723207732168696,0.03056841529905796,0.15064282715320587,1.110123067138202,1.1101230671382023,True,False,False,0.1351212999998097
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_first_moment,A_fixed_clean,0.010832934640347958,0.02321947456999176,0.02321947456999176,0.019631782546639442,0.049525775015354156,1.1827491729204416,0.46883616789021826,False,False,False,0.13381509999999253
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_first_moment,B_fixed_rewritten,0.010832934640347958,0.024183342491489217,0.024183342491489217,0.019631782546639442,0.049525775015354156,1.2318464935130868,0.4882981131338543,False,False,False,0.13381509999999253
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_first_moment,C_fixed_max,0.010832934640347958,0.024183342491489217,0.024183342491489217,0.019631782546639442,0.049525775015354156,1.2318464935130868,0.4882981131338543,False,False,False,0.13381509999999253
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_first_moment,D_stepwise_product,0.010832934640347958,0.023190074956855235,0.023190074956855235,0.019631782546639442,0.049525775015354156,1.18125162102638,0.4682425454153068,False,False,False,0.5478190416667228
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_first_moment,E_empirical_envelope,0.010832934640347958,0.02181349699963184,0.05502966132266985,0.019631782546639442,0.049525775015354156,1.1111317552448066,1.1111317552448066,True,False,False,0.13381509999999253
