model,dataset,seed,scenario,delta,L_clean,L_rewritten,L_max,L_stepwise,fixed_bound_final,stepwise_bound_final,actual_max_divergence,actual_loss_gap,epsilon,safety_margin,decision,decision_reason,runtime_seconds
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,exact_restore,0.0,1.0192428102721882,1.0201880120447568,1.0201880120447568,1.0,0.0,0.0,0.0,0.0,0.05,1.08,certified_safe,zero displacement (no-op): bound is identically zero,0.21741610000026412
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,noop_restore,0.0,1.0192428102721882,1.02511037137394,1.02511037137394,1.0,0.0,0.0,0.0,0.0,0.05,1.08,certified_safe,zero displacement (no-op): bound is identically zero,0.16722380000010162
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,0.037023723125457764,1.0192428102721882,1.016079794338089,1.0192428102721882,0.9978243527553545,0.07935720339307516,0.033934702949344565,0.15064282715320587,0.07645254675298929,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.16930570000022271
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_first_moment,0.010832934640347958,1.0192428102721882,1.0183440412022344,1.0192428102721882,1.0176524424750408,0.02321947456999176,0.02181349699963184,0.049525775015354156,0.002810075879096985,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.16697840000051656
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,1.7150911092758179,1.0192428102721882,1.7305786945031159,1.7305786945031159,0.9953445072084658,5780179224.691996,1.4230631129450084,4.140129089355469,98.37703265249729,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.18350490000011632
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,scheduler_mismatch,0.005416467785835266,1.0192428102721882,1.015603191779359,1.0192428102721882,1.040660871007694,0.011609738283101266,0.026673817657054535,0.041798628866672516,0.005014471709728241,0.05,1.08,abstained,expansive regime but bound below danger threshold (cannot certify),0.1741546000002927
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,ema_shadow_present_not_loaded,0.0,1.0192428102721882,1.0203946446376224,1.0203946446376224,1.0,0.0,0.0,0.0,0.0,0.05,1.08,certified_safe,zero displacement (no-op): bound is identically zero,0.17113419999986945
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,ema_loaded_as_parameters,1.1700841188430786,1.0192428102721882,1.0226238417805902,1.0226238417805902,0.9552445958437158,2.863212862862078,0.18741340935230255,1.1700841188430786,10.801208712160587,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.16685440000037488
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,mild_lr_decrease,0.005416467320173979,1.0192428102721882,1.025584139803131,1.025584139803131,1.0550095441693303,0.014878802174928605,0.0461287480098406,0.05845864117145538,0.010052710771560669,0.05,1.08,abstained,expansive regime but bound below danger threshold (cannot certify),0.1629867000001468
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,0.0974964126944542,1.0192428102721882,1.3333227881523528,1.3333227881523528,0.9685324890349573,9691.716657763745,0.027136659031350274,0.33392342925071716,0.18575167283415794,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.16227799999978743
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,optimizer_state_from_older_checkpoint,0.0682404562830925,1.0192428102721882,1.0204423755525895,1.0204423755525895,0.9997223055076786,0.15331382761056112,0.06748654652982859,0.2899182140827179,0.3325590053573251,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.16710599999987608
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,params_current_optimizer_older,0.10239264369010925,1.0192428102721882,1.014735447188007,1.0192428102721882,0.9950421271563573,0.2194699280711577,0.08393198062016465,0.38311612606048584,0.5757124507799745,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.16657880000002478
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,exact_restore,0.0,1.0283196203327094,1.020190682681348,1.0283196203327094,1.0,0.0,0.0,0.0,0.0,0.05,1.08,certified_safe,zero displacement (no-op): bound is identically zero,0.16815529999985301
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,noop_restore,0.0,1.0283196203327094,1.0210215989316063,1.0283196203327094,1.0,0.0,0.0,0.0,0.0,0.05,1.08,certified_safe,zero displacement (no-op): bound is identically zero,0.17340520000016113
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,stale_adam_moments,0.05040372163057327,1.0283196203327094,1.0200302058513189,1.0283196203327094,0.9972190675452538,0.15402367916560902,0.04509055301170755,0.19634804129600525,0.2165636606514454,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.16582550000021
