model,dataset,seed,scenario,direction_type,probe_trials,probe_steps,L_estimate,actual_growth,missed_worst_case,bound_holds,runtime_seconds
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,schedule_time,20,15,1.5941084266610606,908.0973496959923,True,False,0.11918239999977231
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,schedule_time,50,15,1.5950628927392105,947.0732805312264,True,False,0.29713900000024296
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,random,1,15,1.2659229187841772,2.7715137678796067,True,True,0.005912700000408222
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,random,3,15,1.285160361866745,2.99468061813988,True,True,0.017479300000559306
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,random,5,15,1.2640628523445996,3.003704088894162,True,True,0.029375500000242027
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,random,10,15,1.2532905513541164,4.132191844915141,True,False,0.05840689999968163
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,random,20,15,1.2476948604332259,4.132191844915141,True,False,0.11638230000062322
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,random,50,15,1.2513715490867854,4.950323095290358,False,False,0.29160940000110713
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,gradient_aligned,1,15,1.2130973740702005,3.136705393668019,True,False,0.005841899999722955
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,gradient_aligned,3,15,1.2151970812266506,3.1519926839327037,True,False,0.017789199999242555
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,gradient_aligned,5,15,1.2153844999756611,3.1519926839327037,True,False,0.02957099999912316
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,gradient_aligned,10,15,1.2150683785279226,3.1519926839327037,True,False,0.059428799999295734
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,gradient_aligned,20,15,1.2168547104628298,3.1541149777430886,True,False,0.11719519999860495
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,gradient_aligned,50,15,1.2169634911196978,3.154253431191641,True,False,0.2941705000012007
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,trajectory_aligned,1,15,1.0770829869715495,2.9696791639538254,True,False,0.006444200000260025
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,trajectory_aligned,3,15,1.1000100246786364,3.1480127501435318,True,False,0.018077400000038324
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,trajectory_aligned,5,15,1.105851467037642,3.1480127501435318,True,False,0.030327200000101584
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,trajectory_aligned,10,15,1.1002996718274696,3.1958770051733745,True,False,0.06086709999908635
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,trajectory_aligned,20,15,1.1063040270436115,3.2204377760821727,True,False,0.12128599999959988
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,trajectory_aligned,50,15,1.0999933709818406,3.2204377760821727,True,False,0.30275540000002366
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,top_hessian,1,15,1.3149851358190994,3.3329212715900405,True,True,0.0072660999994695885
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,top_hessian,3,15,1.3159447625155363,3.340609921714332,True,True,0.01780979999966803
