model,dataset,seed,scenario,metric_type,delta,L_estimate,bound_final,actual_final_divergence,actual_max_divergence,bound_holds,decision,notes
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,raw_theta_M,4.226723670959473,1.718850737831723,10852516437.458942,1.59944486618042,3.560349225997925,True,flagged_dangerous,
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,raw_plus_sched_time,4.226723670959473,1.718850737831723,10852516437.458942,1.59944486618042,3.560349225997925,True,flagged_dangerous,
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,block_normalized,0.31316074729058346,1.718850737831723,804070107.7500293,1.59944486618042,3.560349225997925,False,flagged_dangerous,
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,denom_aware_v,1.7076084613800049,1.718850737831723,4384447704.305145,1.59944486618042,3.560349225997925,False,flagged_dangerous,
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,full_repaired,1.7076084613800049,1.718850737831723,4384447704.305145,1.59944486618042,3.560349225997925,False,flagged_dangerous,metric used by repaired analyzer
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,ema_loaded_as_parameters,raw_theta_M,1.3281701803207397,1.0283196203327094,4.0586220841074825,0.28577202558517456,1.3281701803207397,True,flagged_dangerous,
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,ema_loaded_as_parameters,raw_plus_sched_time,1.3281701803207397,1.0283196203327094,4.0586220841074825,0.28577202558517456,1.3281701803207397,True,flagged_dangerous,
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,ema_loaded_as_parameters,block_normalized,1.3281701803207397,1.0283196203327094,4.0586220841074825,0.28577202558517456,1.3281701803207397,True,flagged_dangerous,
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,ema_loaded_as_parameters,denom_aware_v,1.3281701803207397,1.0283196203327094,4.0586220841074825,0.28577202558517456,1.3281701803207397,True,flagged_dangerous,
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,ema_loaded_as_parameters,full_repaired,1.3281701803207397,1.0283196203327094,4.0586220841074825,0.28577202558517456,1.3281701803207397,True,flagged_dangerous,metric used by repaired analyzer
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,stale_adam_moments,raw_theta_M,3.61255145072937,1.0283196203327094,11.039233763224546,0.04064293950796127,0.19634804129600525,True,flagged_dangerous,
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,stale_adam_moments,raw_plus_sched_time,3.61255145072937,1.0283196203327094,11.039233763224546,0.04064293950796127,0.19634804129600525,True,flagged_dangerous,
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,stale_adam_moments,block_normalized,0.8127690847666242,1.0283196203327094,2.4836595532637533,0.04064293950796127,0.19634804129600525,True,flagged_dangerous,
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,stale_adam_moments,denom_aware_v,3.6121132394462423,1.0283196203327094,11.037894677302004,0.04064293950796127,0.19634804129600525,True,flagged_dangerous,
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,stale_adam_moments,full_repaired,0.05040372163057327,1.0283196203327094,0.15402367916560902,0.04064293950796127,0.19634804129600525,False,flagged_dangerous,metric used by repaired analyzer
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,mild_lr_decrease,raw_theta_M,0.0,1.0289843555982927,0.0,0.1059509813785553,0.10624025762081146,False,certified_safe,OLD METRIC BLIND: delta=0 -> bound identically 0 (vacuous/misleading)
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,mild_lr_decrease,raw_plus_sched_time,0.008968966081738472,1.0289843555982927,0.028125047090512865,0.1059509813785553,0.10624025762081146,False,abstained,
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,mild_lr_decrease,block_normalized,0.0,1.0289843555982927,0.0,0.1059509813785553,0.10624025762081146,False,certified_safe,
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,mild_lr_decrease,denom_aware_v,0.0,1.0289843555982927,0.0,0.1059509813785553,0.10624025762081146,False,certified_safe,
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,mild_lr_decrease,full_repaired,0.008968966081738472,1.0289843555982927,0.028125047090512865,0.1059509813785553,0.10624025762081146,False,abstained,metric used by repaired analyzer
quadratic,"synthetic_quadratic(n=20,kappa=30)",2,scheduler_mismatch,raw_theta_M,0.0,1.0213189815068162,0.0,0.13270461559295654,0.13275519013404846,False,certified_safe,OLD METRIC BLIND: delta=0 -> bound identically 0 (vacuous/misleading)
quadratic,"synthetic_quadratic(n=20,kappa=30)",2,scheduler_mismatch,raw_plus_sched_time,0.010288073681294918,1.0213189815068162,0.023921598931696868,0.13270461559295654,0.13275519013404846,False,abstained,
quadratic,"synthetic_quadratic(n=20,kappa=30)",2,scheduler_mismatch,block_normalized,0.0,1.0213189815068162,0.0,0.13270461559295654,0.13275519013404846,False,certified_safe,
quadratic,"synthetic_quadratic(n=20,kappa=30)",2,scheduler_mismatch,denom_aware_v,0.0,1.0213189815068162,0.0,0.13270461559295654,0.13275519013404846,False,certified_safe,
quadratic,"synthetic_quadratic(n=20,kappa=30)",2,scheduler_mismatch,full_repaired,0.010288073681294918,1.0213189815068162,0.023921598931696868,0.13270461559295654,0.13275519013404846,False,abstained,metric used by repaired analyzer
quadratic,"synthetic_quadratic(n=20,kappa=30)",2,reset_second_moment,raw_theta_M,2.988950490951538,1.7843554426092225,34258908058.530277,13.405367851257324,14.160714149475098,False,flagged_dangerous,
quadratic,"synthetic_quadratic(n=20,kappa=30)",2,reset_second_moment,raw_plus_sched_time,2.988950490951538,1.7843554426092225,34258908058.530277,13.405367851257324,14.160714149475098,False,flagged_dangerous,
quadratic,"synthetic_quadratic(n=20,kappa=30)",2,reset_second_moment,block_normalized,0.6788908297705,1.7843554426092225,7781346191.345793,13.405367851257324,14.160714149475098,False,flagged_dangerous,
quadratic,"synthetic_quadratic(n=20,kappa=30)",2,reset_second_moment,denom_aware_v,1.7047110795974731,1.7843554426092225,19539146037.743664,13.405367851257324,14.160714149475098,False,flagged_dangerous,
quadratic,"synthetic_quadratic(n=20,kappa=30)",2,reset_second_moment,full_repaired,1.7047110795974731,1.7843554426092225,19539146037.743664,13.405367851257324,14.160714149475098,False,flagged_dangerous,metric used by repaired analyzer
quadratic,"synthetic_quadratic(n=20,kappa=30)",2,ema_loaded_as_parameters,raw_theta_M,1.4435858726501465,1.023180663396055,3.6102359309465744,0.39333808422088623,1.4435858726501465,True,flagged_dangerous,
quadratic,"synthetic_quadratic(n=20,kappa=30)",2,ema_loaded_as_parameters,raw_plus_sched_time,1.4435858726501465,1.023180663396055,3.6102359309465744,0.39333808422088623,1.4435858726501465,True,flagged_dangerous,
quadratic,"synthetic_quadratic(n=20,kappa=30)",2,ema_loaded_as_parameters,block_normalized,1.4435858726501465,1.023180663396055,3.6102359309465744,0.39333808422088623,1.4435858726501465,True,flagged_dangerous,
quadratic,"synthetic_quadratic(n=20,kappa=30)",2,ema_loaded_as_parameters,denom_aware_v,1.4435858726501465,1.023180663396055,3.6102359309465744,0.39333808422088623,1.4435858726501465,True,flagged_dangerous,
quadratic,"synthetic_quadratic(n=20,kappa=30)",2,ema_loaded_as_parameters,full_repaired,1.4435858726501465,1.023180663396055,3.6102359309465744,0.39333808422088623,1.4435858726501465,True,flagged_dangerous,metric used by repaired analyzer
quadratic,"synthetic_quadratic(n=20,kappa=30)",2,stale_adam_moments,raw_theta_M,3.2948663234710693,1.0157898355783852,6.165840849504335,0.04083573818206787,0.21789811551570892,True,flagged_dangerous,
quadratic,"synthetic_quadratic(n=20,kappa=30)",2,stale_adam_moments,raw_plus_sched_time,3.2948663234710693,1.0157898355783852,6.165840849504335,0.04083573818206787,0.21789811551570892,True,flagged_dangerous,
quadratic,"synthetic_quadratic(n=20,kappa=30)",2,stale_adam_moments,block_normalized,1.6696294517522372,1.0157898355783852,3.124457403268568,0.04083573818206787,0.21789811551570892,True,flagged_dangerous,
quadratic,"synthetic_quadratic(n=20,kappa=30)",2,stale_adam_moments,denom_aware_v,3.294653178928829,1.0157898355783852,6.165441981933886,0.04083573818206787,0.21789811551570892,True,flagged_dangerous,
quadratic,"synthetic_quadratic(n=20,kappa=30)",2,stale_adam_moments,full_repaired,0.05428793281316757,1.0157898355783852,0.10159160369879403,0.04083573818206787,0.21789811551570892,False,flagged_dangerous,metric used by repaired analyzer
quadratic,"synthetic_quadratic(n=20,kappa=30)",2,mild_lr_decrease,raw_theta_M,0.0,1.0297602778595831,0.0,0.17858576774597168,0.17858576774597168,False,certified_safe,OLD METRIC BLIND: delta=0 -> bound identically 0 (vacuous/misleading)
