campaign,row_id,seed,checkpoint_age,rewrite_family,continuation_step,clean_update_norm,candidate_update_norm,delta_update_norm,S1,candidate_clean_update_norm_ratio,update_cosine,lr,candidate_lr
primary,gpu_seed1101_ckpt75_reset_m,1101,75,reset_m,1,0.44556429982185364,0.13981789350509644,0.4278961420059204,0.9603465586808511,0.3137995875358167,0.2807599902153015,0.001,0.001
primary,gpu_seed1101_ckpt75_reset_v,1101,75,reset_v,1,0.44556429982185364,93510.4609375,93510.3984375,209869.59340027385,209869.73367183516,0.13952742516994476,0.001,0.001
primary,gpu_seed1101_ckpt75_stale_v,1101,75,stale_v,1,0.44556429982185364,277.9555358886719,277.949462890625,623.8144819976185,623.8281119003043,0.014528658241033554,0.001,0.001
primary,gpu_seed1101_ckpt75_optimizer_reset,1101,75,optimizer_reset,1,0.44556429982185364,3.6302478313446045,3.5903375148773193,8.057955981448147,8.147528499899812,0.15044857561588287,0.001,0.001
primary,gpu_seed1101_ckpt150_reset_m,1101,150,reset_m,1,0.11851271986961365,0.05454392358660698,0.11021481454372406,0.929982998146116,0.4602368728534401,0.37692511081695557,0.0005,0.0005
primary,gpu_seed1101_ckpt150_reset_v,1101,150,reset_v,1,0.11851271986961365,6209.353515625,6209.34375,52393.90131944534,52393.98372093785,0.08206459879875183,0.0005,0.0005
primary,gpu_seed1101_ckpt150_stale_v,1101,150,stale_v,1,0.11851271986961365,27.6072940826416,27.60609245300293,232.93780180846326,232.94794105461324,0.012256313115358353,0.0005,0.0005
primary,gpu_seed1101_ckpt150_optimizer_reset,1101,150,optimizer_reset,1,0.11851271986961365,1.7356780767440796,1.7156425714492798,14.476442472355151,14.645500319619762,0.20222210884094238,0.0005,0.0005
primary,gpu_seed1101_ckpt300_reset_m,1101,300,reset_m,1,0.022198202088475227,0.01038910262286663,0.020233049988746643,0.9114724655263718,0.46801549877737114,0.4147901237010956,0.000125,0.000125
primary,gpu_seed1101_ckpt300_reset_v,1101,300,reset_v,1,0.022198202088475227,768.4735107421875,768.4718017578125,34618.650585317715,34618.72757283085,0.07969830185174942,0.000125,0.000125
primary,gpu_seed1101_ckpt300_stale_v,1101,300,stale_v,1,0.022198202088475227,0.022263679653406143,0.0004958451027050614,0.022337174006545113,1.0029496787022207,0.9997556209564209,0.000125,0.000125
primary,gpu_seed1101_ckpt300_optimizer_reset,1101,300,optimizer_reset,1,0.022198202088475227,0.4247950315475464,0.4198574423789978,18.914029194196033,19.136461134794033,0.2472691684961319,0.000125,0.000125
primary,gpu_seed1102_ckpt75_reset_m,1102,75,reset_m,1,0.41614481806755066,0.1557731032371521,0.39209118485450745,0.9421988880561264,0.3743242651924406,0.3371139168739319,0.001,0.001
primary,gpu_seed1102_ckpt75_reset_v,1102,75,reset_v,1,0.41614481806755066,48211.23046875,48211.1875,115851.9472229936,115852.05047731308,0.09721987694501877,0.001,0.001
primary,gpu_seed1102_ckpt75_stale_v,1102,75,stale_v,1,0.41614481806755066,2176.189697265625,2176.17138671875,5229.360771134903,5229.404771555141,0.04450242221355438,0.001,0.001
primary,gpu_seed1102_ckpt75_optimizer_reset,1102,75,optimizer_reset,1,0.41614481806755066,3.742893695831299,3.698697566986084,8.888005824878025,8.994209547539626,0.16116778552532196,0.001,0.001
primary,gpu_seed1102_ckpt150_reset_m,1102,150,reset_m,1,0.10610155761241913,0.04117155075073242,0.09594738483428955,0.9042976087483438,0.38803907950853,0.4288487434387207,0.0005,0.0005
