campaign,rewrite_family,n,S1_min,S1_median,S1_max,candidate_clean_update_norm_ratio_median,update_cosine_median
controlled_width,optimizer_reset,27,7.316855815366155,11.558369923348804,17.57926660309671,11.725853584652981,0.23819907009601593
controlled_width,reset_m,27,0.8135338225522897,0.918680544268336,0.9901639661602636,0.4641867038980112,0.40015721321105957
controlled_width,reset_v,27,22230.451008874647,47461.70626515709,213587.10128945936,47461.799235885206,0.10533535480499268
controlled_width,stale_v,27,0.14246502502834155,842.4593354089068,4541.83445295016,842.4854803052633,0.04830799624323845
long_training,optimizer_reset,9,6.926958054371043,10.496539971796116,16.056083585876596,10.669164617064407,0.22501416504383087
long_training,reset_m,9,0.8798628612334828,0.9119570161416312,0.9382891764996916,0.43722462952446617,0.4106326997280121
long_training,reset_v,9,7825.829580487427,16995.209866882804,44586.650365963906,16995.30800445955,0.09976380318403244
long_training,stale_v,9,0.014132437227363483,0.12426416461903925,186.91593352986098,1.0113882894597965,0.9924298524856567
primary,optimizer_reset,9,5.449072716607183,14.7990631492413,18.914029194196033,15.00003878795521,0.22475580871105194
primary,reset_m,9,0.8800081847608275,0.9290769145764965,0.9603465586808511,0.43495202874418537,0.4082423746585846
primary,reset_v,9,34618.650585317715,52393.90131944534,393600.5420820434,52393.98372093785,0.09142889827489853
primary,stale_v,9,0.022337174006545113,790.8304186326425,8465.209137385973,790.8378025400328,0.03883976861834526
