seed,rows,crossed_h100,task_nonrecovered_h100,median_T_tau,max_validation_loss_gap_mean,max_parameter_divergence_mean
1201,99,17,15,1.0,229602408.31454548,5909.265851812127
1202,99,20,15,1.0,3693546051.705962,6868.093486646924
1203,99,19,16,1.0,17022752752.554865,6338.569671315899
