sigma,trials,L_pred,delta,empirical_floor_mean,empirical_floor_std,empirical_floor_median,vanilla_floor,adam_adjusted_floor_mean_eta,adam_adjusted_floor_median_eta,dimension_adjusted_floor_mean_eta,dimension_adjusted_floor_median_eta,relative_error_vanilla,relative_error_adjusted_mean_eta,relative_error_adjusted_median_eta,relative_error_dimension_adjusted_mean_eta,relative_error_dimension_adjusted_median_eta,best_model_by_relative_error,monotonic_empirical_floor,eta_eff_mean,eta_eff_median
0.001,20,0.9600823603160044,0.009999999776482582,0.0005395226343825925,5.5063828211638246e-05,0.000538244629278779,0.0250515814040211,0.003358018445999992,0.0004093724378822828,0.010618986714219113,0.0012945493150038107,45.43286455013903,5.22405480697352,0.24123213412398953,18.68218947175598,1.3994346715133454,adam_adjusted_median_eta,True,0.13404417037963867,0.016341181471943855
0.005,20,0.9600823603160044,0.009999999776482582,0.0016663043322041632,0.0002169197457459202,0.0017380006023449824,0.1252579070201055,0.016790092229999963,0.0020468621894114145,0.05309493357109557,0.006472746575019055,74.17108645718766,9.076245920689813,0.22838436524008482,30.86388737336016,2.884492436298836,adam_adjusted_median_eta,True,0.13404417037963867,0.016341181471943855
0.01,20,0.9600823603160044,0.009999999776482582,0.0032063313209218904,0.0006087433907766982,0.0033261249284259973,0.250515814040211,0.033580184459999926,0.004093724378822829,0.10618986714219114,0.01294549315003811,77.13160555353407,9.473086246852645,0.27676274504463677,32.11880667143882,3.0374783059899118,adam_adjusted_median_eta,True,0.13404417037963867,0.016341181471943855
0.025,20,0.9600823603160044,0.009999999776482582,0.006893926780438051,0.0021773392235657084,0.0063637406425550574,0.6262895351005275,0.08395046114999981,0.010234310947057072,0.26547466785547785,0.032363732875095266,89.8465603199708,11.177451809934288,0.48454012829053683,37.5084838163322,3.6945280833166647,adam_adjusted_median_eta,True,0.13404417037963867,0.016341181471943855
0.05,20,0.9600823603160044,0.009999999776482582,0.010111714453902096,0.0018143481519870197,0.00950682856142521,1.252579070201055,0.16790092229999962,0.020468621894114143,0.5309493357109557,0.06472746575019053,122.8740547818463,15.604594904794498,1.0242484088556647,51.50833952357734,5.401235521955656,adam_adjusted_median_eta,True,0.13404417037963867,0.016341181471943855
0.1,20,0.9600823603160044,0.009999999776482582,0.017981876519508663,0.0037517201857186857,0.01729327485896647,2.50515814040211,0.33580184459999923,0.040937243788228286,1.0618986714219114,0.12945493150038107,138.31572367790685,17.674460601244007,1.2765835225158613,58.0538295750085,6.199189214759344,adam_adjusted_median_eta,True,0.13404417037963867,0.016341181471943855
