lipschitz_perturbations,lipschitz_steps,L_pred_mean,L_pred_median,L_actual,absolute_error,bound_holds,max_bound_ratio,final_looseness,runtime_seconds,predicted_dangerous,predicted_safe,actual_dangerous,actual_safe,false_negative,false_positive
1,1,1.012802243232727,1.0131009817123413,0.9857944910995805,0.027306490612760803,True,1.0,925.9495660283784,0.0035707000001821143,True,False,False,True,False,True
1,3,1.0220670700073242,1.00929594039917,0.9857944910995805,0.023501449299589416,True,1.0,361.4389002646253,0.007434399999965535,True,False,False,True,False,True
1,5,1.020807147026062,1.039634346961975,0.9857944910995805,0.05383985586239459,True,1.0,593687.706179039,0.00911339999993288,True,False,False,True,False,True
1,10,1.0476487874984741,1.044424295425415,0.9857944910995805,0.058629804325834534,True,1.0,1873461.3739430085,0.014430499999889435,True,False,False,True,False,True
1,15,1.0375077724456787,1.045982003211975,0.9857944910995805,0.06018751211239459,True,1.0,2719295.1893533543,0.024662799999987328,True,False,False,True,False,True
1,25,1.0422097444534302,1.0520349740982056,0.9857944910995805,0.06624048299862506,True,1.0,11506619.321010537,0.07280070000024352,True,False,False,True,False,True
3,1,0.9713999629020691,0.9891834259033203,0.9857944910995805,0.003388934803739807,True,1.0,2.358365073278573,0.013362900000174704,False,True,False,True,False,False
3,3,1.025954246520996,1.0346810817718506,0.9857944910995805,0.04888659067227008,True,1.0,179899.68432109014,0.026096400000369613,True,False,False,True,False,True
3,5,1.0349653959274292,1.0348939895629883,0.9857944910995805,0.049099498463407776,True,1.0,189395.41040260158,0.055134799999905226,True,False,False,True,False,True
3,10,1.0371103286743164,1.0415892601013184,0.9857944910995805,0.055794769001737854,True,1.0,949569.1260046952,0.06619850000015504,True,False,False,True,False,True
3,15,1.0485996007919312,1.0444148778915405,0.9857944910995805,0.05862038679196002,True,1.0,1869242.8790955234,0.08359380000001693,True,False,False,True,False,True
3,25,1.040321946144104,1.0388702154159546,0.9857944910995805,0.053075724316374084,True,1.0,494000.1398418173,0.09340530000008584,True,False,False,True,False,True
5,1,0.9802531599998474,0.989851176738739,0.9857944910995805,0.004056685639158508,True,1.0,2.7917672687911423,0.0090172000000166,False,True,False,True,False,False
5,3,1.0619395971298218,1.0626623630523682,0.9857944910995805,0.07686787195278766,True,1.0,141980296.88765022,0.021138500000233762,True,False,False,True,False,True
5,5,1.0239012241363525,1.0148518085479736,0.9857944910995805,0.029057317448393127,True,1.0,1425.807139460882,0.03768389999959254,True,False,False,True,False,True
5,10,1.0505691766738892,1.0507396459579468,0.9857944910995805,0.06494515485836627,True,1.0,8456352.31518795,0.06825329999992391,True,False,False,True,False,True
5,15,1.04420006275177,1.043363332748413,0.9857944910995805,0.05756884164883258,True,1.0,1453101.0282225404,0.09637340000017502,True,False,False,True,False,True
5,25,1.0459632873535156,1.045983910560608,0.9857944910995805,0.060189419461027405,True,1.0,2720535.129817255,0.15626810000003388,True,False,False,True,False,True
10,1,1.0114508867263794,1.0172513723373413,0.9857944910995805,0.0314568812377608,True,1.0,2573.2050091590545,0.01700810000011188,True,False,False,True,False,True
10,3,1.0499705076217651,1.0468194484710693,0.9857944910995805,0.06102495737148883,True,1.0,3321612.3284274656,0.04312949999984994,True,False,False,True,False,True
10,5,1.0234040021896362,1.0210729837417603,0.9857944910995805,0.03527849264217975,True,1.0,6570.518670992346,0.06242980000024545,True,False,False,True,False,True
10,10,1.042819619178772,1.046138882637024,0.9857944910995805,0.06034439153744342,True,1.0,2823184.88973014,0.12200579999989714,True,False,False,True,False,True
10,15,1.0399107933044434,1.0395902395248413,0.9857944910995805,0.0537957484252608,True,1.0,587423.914558835,0.20760900000004767,True,False,False,True,False,True
10,25,1.0414382219314575,1.0409557819366455,0.9857944910995805,0.055161290837065,True,1.0,815593.457741211,0.3229495999999017,True,False,False,True,False,True
20,1,1.0107295513153076,1.0180128812789917,0.9857944910995805,0.032218390179411194,True,1.0,3102.570176058713,0.03331000000025597,True,False,False,True,False,True
20,3,1.0526304244995117,1.0499898195266724,0.9857944910995805,0.06419532842709186,True,1.0,7074167.688769556,0.08238110000002052,True,False,False,True,False,True
20,5,1.0177373886108398,1.0193006992340088,0.9857944910995805,0.033506208134428284,True,1.0,4255.825552606123,0.13462669999989885,True,False,False,True,False,True
20,10,1.041310429573059,1.0408529043197632,0.9857944910995805,0.05505841322018268,True,1.0,795688.1252338722,0.2631485999995675,True,False,False,True,False,True
20,15,1.041600227355957,1.0415551662445068,0.9857944910995805,0.05576067514492633,True,1.0,941830.255499531,0.3885075999996843,True,False,False,True,False,True
20,25,1.0423110723495483,1.0421135425567627,0.9857944910995805,0.05631905145718219,True,1.0,1076869.8351120276,0.6318561000002774,True,False,False,True,False,True
50,1,1.0194368362426758,1.0205954313278198,0.9857944910995805,0.03480094022823932,True,1.0,5845.31953299761,0.07275110000000495,True,False,False,True,False,True
50,3,1.0534251928329468,1.0533976554870605,0.9857944910995805,0.06760316438748004,True,1.0,15903405.80067283,0.20152610000013738,True,False,False,True,False,True
50,5,1.0272501707077026,1.0295863151550293,0.9857944910995805,0.04379182405544879,True,1.0,52371.33575944362,0.3250511999999617,True,False,False,True,False,True
50,10,1.0434566736221313,1.0443719625473022,0.9857944910995805,0.05857747144772174,True,1.0,1850138.8303188921,0.6977025000001049,True,False,False,True,False,True
50,15,1.0420947074890137,1.042014479637146,0.9857944910995805,0.05621998853756549,True,1.0,1051578.634940985,1.1134550000001582,True,False,False,True,False,True
50,25,1.0437260866165161,1.044021487236023,0.9857944910995805,0.058226996136442444,True,1.0,1701228.113836706,1.6245374999998603,True,False,False,True,False,True
