batch_file_sha256,checkpoint_age,protocol_sha256,seed,source_checkpoint,source_checkpoint_sha256,rewrite_family,resume_epsilon,clean_epsilon,candidate_epsilon,S1,clean_first_update_l2,candidate_first_update_l2,first_update_delta_l2,first_update_cosine_similarity
7c5cbefe866ee50d39341250351e6170998b2a6aeedaf0fbc73fa23acd387fee,1500,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,4102,checkpoints\seed_4102_age_1500.pt,a9563ab995f4aad0366306e42c54eb101d35861fd696564332b0277e8284ffc7,reset_v,1e-08,1e-08,1e-08,1948.5547152954186,0.06463481485843658,125.94766235351562,125.94447326660156,0.04968148469924927
7c5cbefe866ee50d39341250351e6170998b2a6aeedaf0fbc73fa23acd387fee,1500,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,4102,checkpoints\seed_4102_age_1500.pt,a9563ab995f4aad0366306e42c54eb101d35861fd696564332b0277e8284ffc7,reset_v,1e-06,1e-06,1e-06,233.21380558568202,0.06452828645706177,15.063081741333008,15.048887252807617,0.22202278673648834
7c5cbefe866ee50d39341250351e6170998b2a6aeedaf0fbc73fa23acd387fee,1500,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,4102,checkpoints\seed_4102_age_1500.pt,a9563ab995f4aad0366306e42c54eb101d35861fd696564332b0277e8284ffc7,reset_v,0.0001,0.0001,0.0001,19.379499054390454,0.0599767342209816,1.199427843093872,1.1623190641403198,0.6341517567634583
7c5cbefe866ee50d39341250351e6170998b2a6aeedaf0fbc73fa23acd387fee,3000,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,4102,checkpoints\seed_4102_age_3000.pt,cd3b71846c92b204f3905ee1eadc5d069adf8ed0b150fb012045bad792731f29,reset_v,1e-08,1e-08,1e-08,1403.959691420724,0.0765010267496109,107.42584991455078,107.40435791015625,0.28116437792778015
7c5cbefe866ee50d39341250351e6170998b2a6aeedaf0fbc73fa23acd387fee,3000,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,4102,checkpoints\seed_4102_age_3000.pt,cd3b71846c92b204f3905ee1eadc5d069adf8ed0b150fb012045bad792731f29,reset_v,1e-06,1e-06,1e-06,221.66649785025692,0.07161644101142883,15.891085624694824,15.87496566772461,0.22724264860153198
7c5cbefe866ee50d39341250351e6170998b2a6aeedaf0fbc73fa23acd387fee,3000,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,4102,checkpoints\seed_4102_age_3000.pt,cd3b71846c92b204f3905ee1eadc5d069adf8ed0b150fb012045bad792731f29,reset_v,0.0001,0.0001,0.0001,25.363962779904814,0.056182559579610825,1.4609599113464355,1.4250123500823975,0.6511890888214111
686a3c24e1121883e4cc4f12f482619b9c042d6d83d2eb29f42aa8ea44145f24,500,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,4103,checkpoints\seed_4103_age_500.pt,c0ba81aa08f750938639413cd59f65c4ccc65ef431fbf6fcf58a78aa74071032,reset_v,1e-08,1e-08,1e-08,1517.323668535056,0.09979762136936188,151.4302978515625,151.42529296875,0.05040888115763664
686a3c24e1121883e4cc4f12f482619b9c042d6d83d2eb29f42aa8ea44145f24,500,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,4103,checkpoints\seed_4103_age_500.pt,c0ba81aa08f750938639413cd59f65c4ccc65ef431fbf6fcf58a78aa74071032,reset_v,1e-06,1e-06,1e-06,178.26101378759068,0.09824330359697342,17.528797149658203,17.512950897216797,0.16402427852153778
686a3c24e1121883e4cc4f12f482619b9c042d6d83d2eb29f42aa8ea44145f24,500,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,4103,checkpoints\seed_4103_age_500.pt,c0ba81aa08f750938639413cd59f65c4ccc65ef431fbf6fcf58a78aa74071032,reset_v,0.0001,0.0001,0.0001,16.068471380396712,0.08081067353487015,1.3500622510910034,1.2985039949417114,0.6557585597038269
686a3c24e1121883e4cc4f12f482619b9c042d6d83d2eb29f42aa8ea44145f24,1500,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,4103,checkpoints\seed_4103_age_1500.pt,8b4c589069acbed385cddb4a4a26dbda6fe8f9212d9ab307427aaf30dcc1531b,reset_v,1e-08,1e-08,1e-08,3743.0764599656495,0.06460799276828766,241.83546447753906,241.83265686035156,0.043423496186733246
686a3c24e1121883e4cc4f12f482619b9c042d6d83d2eb29f42aa8ea44145f24,1500,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,4103,checkpoints\seed_4103_age_1500.pt,8b4c589069acbed385cddb4a4a26dbda6fe8f9212d9ab307427aaf30dcc1531b,reset_v,1e-06,1e-06,1e-06,327.3663473124232,0.06407493352890015,20.991050720214844,20.975976943969727,0.23667070269584656
686a3c24e1121883e4cc4f12f482619b9c042d6d83d2eb29f42aa8ea44145f24,1500,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,4103,checkpoints\seed_4103_age_1500.pt,8b4c589069acbed385cddb4a4a26dbda6fe8f9212d9ab307427aaf30dcc1531b,reset_v,0.0001,0.0001,0.0001,29.442200130933724,0.054726798087358475,1.6476377248764038,1.6112773418426514,0.6736743450164795
686a3c24e1121883e4cc4f12f482619b9c042d6d83d2eb29f42aa8ea44145f24,3000,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,4103,checkpoints\seed_4103_age_3000.pt,04b8f9f17948333384efe9da5b3bab5dbcb26c2828b9e3063ec79409894614db,reset_v,1e-08,1e-08,1e-08,4504.728397260098,0.07242825627326965,326.2738952636719,326.2696228027344,0.05912560969591141
686a3c24e1121883e4cc4f12f482619b9c042d6d83d2eb29f42aa8ea44145f24,3000,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,4103,checkpoints\seed_4103_age_3000.pt,04b8f9f17948333384efe9da5b3bab5dbcb26c2828b9e3063ec79409894614db,reset_v,1e-06,1e-06,1e-06,361.1305514307491,0.07238917052745819,26.165616989135742,26.14194107055664,0.3283035457134247
686a3c24e1121883e4cc4f12f482619b9c042d6d83d2eb29f42aa8ea44145f24,3000,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,4103,checkpoints\seed_4103_age_3000.pt,04b8f9f17948333384efe9da5b3bab5dbcb26c2828b9e3063ec79409894614db,reset_v,0.0001,0.0001,0.0001,30.1277732565713,0.06906361132860184,2.13132905960083,2.080732822418213,0.7401077747344971
