step,train_loss
1,2.303569793701172
2,2.299553632736206
3,2.3024702072143555
4,2.2985072135925293
5,2.297821521759033
6,2.2817564010620117
7,2.2942774295806885
8,2.276315212249756
9,2.271671772003174
10,2.227252960205078
11,2.2276437282562256
12,2.2091712951660156
13,2.1838016510009766
14,2.2426340579986572
15,2.2709755897521973
16,2.1795859336853027
17,2.1070971488952637
18,2.1473498344421387
19,2.138057231903076
20,2.243377685546875
21,2.2325830459594727
22,2.1748924255371094
23,1.9766350984573364
24,2.1585805416107178
25,2.0294811725616455
26,2.0634446144104004
27,2.1338133811950684
28,2.1676158905029297
29,2.143887758255005
30,2.034325122833252
31,2.1027350425720215
32,2.0989041328430176
33,2.1161677837371826
34,2.154336452484131
35,2.149467945098877
36,2.0326812267303467
37,2.109823703765869
38,2.134161949157715
39,2.106440782546997
40,2.0768918991088867
41,2.1567819118499756
42,2.0815916061401367
43,2.088253974914551
44,2.076427936553955
45,2.1267120838165283
46,2.051736354827881
47,2.0822293758392334
48,2.069058656692505
49,2.062532901763916
50,2.0121142864227295
51,2.019493579864502
52,2.1263885498046875
53,2.0472874641418457
54,2.0381035804748535
55,2.0375783443450928
56,2.0266199111938477
57,2.042933940887451
58,1.9743891954421997
59,2.0213136672973633
60,1.9385485649108887
61,2.027395725250244
62,1.9177137613296509
63,1.8564834594726562
64,2.184446334838867
65,2.005692481994629
66,2.0028820037841797
67,1.916212558746338
68,2.022763252258301
69,1.8575730323791504
70,1.9512641429901123
71,1.9856159687042236
72,1.945936918258667
73,2.0860297679901123
74,2.0454318523406982
75,1.9761638641357422
76,1.949227213859558
77,1.898529052734375
78,1.902482032775879
79,1.9738597869873047
80,1.943789005279541
81,1.933159351348877
82,1.9533345699310303
83,1.9342832565307617
84,1.895919919013977
85,1.8304479122161865
86,1.7906290292739868
87,1.8556866645812988
88,1.9622257947921753
89,1.9027460813522339
90,1.844032883644104
91,1.8535640239715576
92,1.7260464429855347
93,1.9021093845367432
94,1.8600776195526123
95,1.9260728359222412
96,1.8643213510513306
97,1.828408122062683
98,1.812732219696045
99,1.8239831924438477
100,1.7740576267242432
101,1.8629820346832275
102,1.7265429496765137
103,1.8166606426239014
104,1.840491771697998
105,1.7613664865493774
106,1.8937139511108398
107,1.7937978506088257
108,1.7814805507659912
109,1.7939131259918213
110,1.6927059888839722
111,1.7637174129486084
112,1.8604506254196167
113,1.7419764995574951
114,1.9189454317092896
115,1.750124216079712
116,1.9545741081237793
117,1.9182608127593994
118,1.7288638353347778
119,1.771681308746338
120,1.7640149593353271
121,1.8108636140823364
122,1.8479517698287964
123,2.048529624938965
124,1.9056243896484375
125,1.7171146869659424
126,1.8249218463897705
127,1.8233171701431274
128,1.8711448907852173
129,1.7842495441436768
130,1.7207597494125366
131,1.9410271644592285
132,1.8528438806533813
133,1.7417044639587402
134,1.5833706855773926
135,1.8902491331100464
136,1.831045389175415
137,1.8464692831039429
138,1.978622317314148
139,1.6534721851348877
140,1.7691166400909424
141,1.859482765197754
142,1.7720280885696411
143,1.8247041702270508
144,1.663316011428833
145,1.6372661590576172
146,1.8121755123138428
147,1.7010530233383179
148,1.9130055904388428
149,1.728689432144165
150,1.680916428565979
151,1.8233554363250732
152,1.6714227199554443
153,1.7226788997650146
154,1.8135056495666504
155,1.7872693538665771
156,1.7789273262023926
157,1.7968380451202393
158,1.672084093093872
159,1.8822927474975586
160,1.6985249519348145
161,1.6298084259033203
