seed,checkpoint_age,source_checkpoint,source_checkpoint_sha256,protocol_sha256,batch_file_sha256,rewrite_family,row_id,continuation_step,loss,accuracy,examples
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,reset_v,4101_500_reset_v,50,2.1995148345947264,0.1584,10000
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,full_per_parameter_reset,4101_500_full_per_parameter_reset,50,1.410172200012207,0.487,10000
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,clean,4101_500_clean,75,1.4260965412139892,0.47,10000
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,reset_m,4101_500_reset_m,75,1.4396480222702026,0.4624,10000
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,reset_v,4101_500_reset_v,75,2.0910582843780516,0.2343,10000
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,full_per_parameter_reset,4101_500_full_per_parameter_reset,75,1.42063599319458,0.4735,10000
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,clean,4101_500_clean,100,1.3790866849899293,0.4881,10000
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,reset_m,4101_500_reset_m,100,1.3845861991882324,0.486,10000
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,reset_v,4101_500_reset_v,100,2.033321717071533,0.2395,10000
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,full_per_parameter_reset,4101_500_full_per_parameter_reset,100,1.3804047971725464,0.4943,10000
4101,1500,checkpoints\seed_4101_age_1500.pt,9ddb64cbb9231e187b06be5652c8d2bdbf7e9743ec4708d3e45903b49660cf56,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,clean,4101_1500_clean,0,1.0738417385101318,0.6075,10000
4101,1500,checkpoints\seed_4101_age_1500.pt,9ddb64cbb9231e187b06be5652c8d2bdbf7e9743ec4708d3e45903b49660cf56,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,reset_m,4101_1500_reset_m,0,1.0738417385101318,0.6075,10000
