seed,rewrite_family,checkpoint_rows,median_S1,median_clean_update_l2,median_candidate_update_l2,median_delta_update_l2,crossings,median_capped_T_tau,protocol_sha256
4101,clean,3,0.0,0.0643671303987503,0.0643671303987503,0.0,0,101.0,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,reset_m,3,0.8477882873502685,0.0643671303987503,0.03403531759977341,0.05591127648949623,0,101.0,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,reset_v,3,1887.2602064015916,0.0643671303987503,121.48078155517578,121.47752380371094,3,1.0,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,full_per_parameter_reset,3,4.598622938467272,0.0643671303987503,0.32477498054504395,0.30327722430229187,0,101.0,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4102,clean,3,0.0,0.0765010267496109,0.0765010267496109,0.0,0,101.0,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4102,reset_m,3,0.8481481216651727,0.0765010267496109,0.05058278143405914,0.06733977049589157,0,101.0,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4102,reset_v,3,1403.959691420724,0.0765010267496109,107.42584991455078,107.40435791015625,3,1.0,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4102,full_per_parameter_reset,3,3.9753695876121427,0.0765010267496109,0.3203097879886627,0.29991069436073303,1,101.0,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4103,clean,3,0.0,0.07242825627326965,0.07242825627326965,0.0,0,101.0,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4103,reset_m,3,0.8612851607044102,0.07242825627326965,0.03322282060980797,0.07659497857093811,0,101.0,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4103,reset_v,3,3743.0764599656495,0.07242825627326965,241.83546447753906,241.83265686035156,3,1.0,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4103,full_per_parameter_reset,3,4.537815049917,0.07242825627326965,0.32265767455101013,0.3068687319755554,1,101.0,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4104,clean,3,0.0,0.07293795794248581,0.07293795794248581,0.0,0,101.0,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4104,reset_m,3,0.8538054181421226,0.07293795794248581,0.03706575185060501,0.056765321642160416,0,101.0,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4104,reset_v,3,1466.4566052005148,0.07293795794248581,131.78321838378906,131.77871704101562,3,1.0,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4104,full_per_parameter_reset,3,4.301614157135106,0.07293795794248581,0.3412720561027527,0.32224738597869873,0,101.0,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4105,clean,3,0.0,0.08501772582530975,0.08501772582530975,0.0,0,101.0,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4105,reset_m,3,0.8549088125045904,0.08501772582530975,0.04752408713102341,0.07268240302801132,0,101.0,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4105,reset_v,3,1405.5894452377013,0.08501772582530975,112.53797912597656,112.53353881835938,3,1.0,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4105,full_per_parameter_reset,3,3.6960156971485705,0.08501772582530975,0.3348252773284912,0.31186243891716003,1,101.0,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
