seed,checkpoint_age,source_checkpoint,source_checkpoint_sha256,protocol_sha256,batch_file_sha256,rewrite_family,row_id,continuation_step,parameter_distance,normalized_parameter_distance,theta_checkpoint_norm,tau,batch_sha256
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,full_per_parameter_reset,4101_500_full_per_parameter_reset,2,0.3460550904273987,0.023009660580851448,15.039556503295898,1.5039556503295899,585315dcb588389eae585bdda5f34c24df3b66029808d8cec062d56ecc0893a1
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,clean,4101_500_clean,3,0.0,0.0,15.039556503295898,1.5039556503295899,77862cac030e364de11e8c0c371398b05b52e3088056f38e50eb493e67278a08
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,reset_m,4101_500_reset_m,3,0.1312873810529709,0.008729471578778982,15.039556503295898,1.5039556503295899,77862cac030e364de11e8c0c371398b05b52e3088056f38e50eb493e67278a08
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,reset_v,4101_500_reset_v,3,281.7963562011719,18.737012367312683,15.039556503295898,1.5039556503295899,77862cac030e364de11e8c0c371398b05b52e3088056f38e50eb493e67278a08
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,full_per_parameter_reset,4101_500_full_per_parameter_reset,3,0.38451912999153137,0.02556718543576993,15.039556503295898,1.5039556503295899,77862cac030e364de11e8c0c371398b05b52e3088056f38e50eb493e67278a08
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,clean,4101_500_clean,4,0.0,0.0,15.039556503295898,1.5039556503295899,0c798fc4f59e2f82322d579bafacef9331b6dfbb64229eedd769b79d76bdaeeb
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,reset_m,4101_500_reset_m,4,0.1636587679386139,0.010881887900267366,15.039556503295898,1.5039556503295899,0c798fc4f59e2f82322d579bafacef9331b6dfbb64229eedd769b79d76bdaeeb
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,reset_v,4101_500_reset_v,4,354.8868103027344,23.596893314303372,15.039556503295898,1.5039556503295899,0c798fc4f59e2f82322d579bafacef9331b6dfbb64229eedd769b79d76bdaeeb
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,full_per_parameter_reset,4101_500_full_per_parameter_reset,4,0.41816550493240356,0.027804377399076586,15.039556503295898,1.5039556503295899,0c798fc4f59e2f82322d579bafacef9331b6dfbb64229eedd769b79d76bdaeeb
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,clean,4101_500_clean,5,0.0,0.0,15.039556503295898,1.5039556503295899,fb30012b11da41d895aa5c45933c7e648a91837df5ac4e5d12995fa4b1ce28eb
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,reset_m,4101_500_reset_m,5,0.18874570727348328,0.01254995167125489,15.039556503295898,1.5039556503295899,fb30012b11da41d895aa5c45933c7e648a91837df5ac4e5d12995fa4b1ce28eb
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,reset_v,4101_500_reset_v,5,421.0856018066406,27.998538501739215,15.039556503295898,1.5039556503295899,fb30012b11da41d895aa5c45933c7e648a91837df5ac4e5d12995fa4b1ce28eb
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,full_per_parameter_reset,4101_500_full_per_parameter_reset,5,0.4497045874595642,0.029901452703142022,15.039556503295898,1.5039556503295899,fb30012b11da41d895aa5c45933c7e648a91837df5ac4e5d12995fa4b1ce28eb
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,clean,4101_500_clean,6,0.0,0.0,15.039556503295898,1.5039556503295899,569f4beef6bb21329f759eca7bd2d88935b17d85be2260f83597c110f0afac8c
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,reset_m,4101_500_reset_m,6,0.21027864515781403,0.01398170518603509,15.039556503295898,1.5039556503295899,569f4beef6bb21329f759eca7bd2d88935b17d85be2260f83597c110f0afac8c
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,reset_v,4101_500_reset_v,6,480.88189697265625,31.974473241098543,15.039556503295898,1.5039556503295899,569f4beef6bb21329f759eca7bd2d88935b17d85be2260f83597c110f0afac8c
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,full_per_parameter_reset,4101_500_full_per_parameter_reset,6,0.4743092656135559,0.03153745029047766,15.039556503295898,1.5039556503295899,569f4beef6bb21329f759eca7bd2d88935b17d85be2260f83597c110f0afac8c
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,clean,4101_500_clean,7,0.0,0.0,15.039556503295898,1.5039556503295899,02cf2f9b5e45c99ca7838c3b1a8dda79b7ea67223f0b57d6823519186de13966
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,reset_m,4101_500_reset_m,7,0.22764985263347626,0.015136739742529772,15.039556503295898,1.5039556503295899,02cf2f9b5e45c99ca7838c3b1a8dda79b7ea67223f0b57d6823519186de13966
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,reset_v,4101_500_reset_v,7,534.8360595703125,35.56195686043457,15.039556503295898,1.5039556503295899,02cf2f9b5e45c99ca7838c3b1a8dda79b7ea67223f0b57d6823519186de13966
4101,500,checkpoints\seed_4101_age_500.pt,7fa34684acddbb4c0d6bbbcd7e9e4549dc3750be17a8389c462e06db32cb314a,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,full_per_parameter_reset,4101_500_full_per_parameter_reset,7,0.49309977889060974,0.03278685636657669,15.039556503295898,1.5039556503295899,02cf2f9b5e45c99ca7838c3b1a8dda79b7ea67223f0b57d6823519186de13966
