optimizer,target_delta,actual_delta,L_pred,L_actual,L_pred_estimator,regime,final_divergence,max_divergence,final_loss_gap,max_loss_gap,bound_holds,max_bound_ratio,median_tightness,final_tightness,predicted_safe,predicted_dangerous,actual_dangerous
Adam,0.01,0.009999999776482582,1.0109131367076962,0.9467467032448362,numerical,expansive,4.201265619485639e-05,0.009999999776482582,5.9510412764307574e-08,0.003454391506693355,True,1.0,0.034651726484298706,0.0014190448787787698,False,True,False
AdamW,0.01,0.009999999776482582,1.0107518606240065,0.9468978763203786,numerical,expansive,4.268882912583649e-05,0.009999999776482582,5.566323402206308e-08,0.0034515626039137715,True,1.0,0.03484212979674339,0.001465073138596735,False,True,False
SGD,0.01,0.009999999776482582,1.1880004119873047,1.0772801887295367,exact_spectral_sgd,expansive,17.096464157104492,17.096464157104492,10737418240.0,10737418240.0,True,1.0000897794981998,0.0018573800334706903,5.639585488680098e-05,False,True,True
SGD_momentum,0.01,0.009999999776482582,1.0039289505043907,0.9465349585887156,numerical,expansive,4.108334906050004e-05,0.009999999776482582,8.806629642199582e-08,0.003556542725164036,True,1.0,0.04722387343645096,0.0027756712306422856,False,True,False
RMSProp,0.01,0.009999999776482582,0.9628766627633585,0.9938105561960218,numerical,contractive,0.0053747775964438915,0.027362773194909096,0.006117124110460281,0.07262806594371796,False,41.94501739292227,0.8462358117103577,1.0,True,False,True
