row_id,post_resume_index,parameter_divergence,validation_loss_gap,perplexity_gap
gpu_seed1101_ckpt75_reset_m,19,6.159221649169922,0.7063439687093105,192.31470424836095
gpu_seed1101_ckpt75_reset_m,20,6.408416748046875,0.27295796076456735,68.22300873695076
gpu_seed1101_ckpt75_reset_v,0,0.0,0.0,0.0
gpu_seed1101_ckpt75_reset_v,1,93483.515625,753890776397.7673,5.184705528587072e+21
gpu_seed1101_ckpt75_reset_v,2,167142.5,905650110456.2783,5.184705528587072e+21
gpu_seed1101_ckpt75_reset_v,3,218753.859375,892323168247.3807,5.184705528587072e+21
gpu_seed1101_ckpt75_reset_v,4,266649.40625,873406682444.5448,5.184705528587072e+21
gpu_seed1101_ckpt75_reset_v,5,311004.84375,851932916385.6482,5.184705528587072e+21
gpu_seed1101_ckpt75_reset_v,6,351556.59375,828101558263.342,5.184705528587072e+21
gpu_seed1101_ckpt75_reset_v,7,388088.5625,804022801740.7504,5.184705528587072e+21
gpu_seed1101_ckpt75_reset_v,8,421186.78125,781139662156.7623,5.184705528587072e+21
gpu_seed1101_ckpt75_reset_v,9,450885.125,762547404792.6443,5.184705528587072e+21
gpu_seed1101_ckpt75_reset_v,10,477719.96875,792301884750.1433,5.184705528587072e+21
gpu_seed1101_ckpt75_reset_v,11,501918.0,896894085795.9319,5.184705528587072e+21
gpu_seed1101_ckpt75_reset_v,12,523502.84375,816065456803.8341,5.184705528587072e+21
gpu_seed1101_ckpt75_reset_v,13,542810.4375,736867975161.6947,5.184705528587072e+21
gpu_seed1101_ckpt75_reset_v,14,560219.125,714374905850.1208,5.184705528587072e+21
gpu_seed1101_ckpt75_reset_v,15,575907.9375,709890954575.655,5.184705528587072e+21
gpu_seed1101_ckpt75_reset_v,16,589416.0,707607680335.5945,5.184705528587072e+21
gpu_seed1101_ckpt75_reset_v,17,601589.625,706352818852.6519,5.184705528587072e+21
gpu_seed1101_ckpt75_reset_v,18,612565.1875,705080961700.3344,5.184705528587072e+21
gpu_seed1101_ckpt75_reset_v,19,622457.5625,703799164922.0608,5.184705528587072e+21
gpu_seed1101_ckpt75_reset_v,20,631372.0625,702180906319.6788,5.184705528587072e+21
gpu_seed1101_ckpt75_stale_m,0,0.0,0.0,0.0
gpu_seed1101_ckpt75_stale_m,1,0.715097963809967,0.5407557487487793,806.7384362344199
gpu_seed1101_ckpt75_stale_m,2,1.3566977977752686,1.1465078989664708,1539.7403920910601
gpu_seed1101_ckpt75_stale_m,3,1.9584593772888184,2.1843539873758946,4914.2483633544625
gpu_seed1101_ckpt75_stale_m,4,2.514712333679199,1.7820946375528974,5455.0183908542585
gpu_seed1101_ckpt75_stale_m,5,3.0168235301971436,2.213941574096679,7352.121355831889
gpu_seed1101_ckpt75_stale_m,6,3.504257917404175,2.335111618041992,5198.394776743119
gpu_seed1101_ckpt75_stale_m,7,3.975895643234253,2.1711627642313642,4731.318244395834
gpu_seed1101_ckpt75_stale_m,8,4.434691429138184,2.2475067774454756,4719.179425575851
gpu_seed1101_ckpt75_stale_m,9,4.844845771789551,1.0444812774658203,1014.396637223375
gpu_seed1101_ckpt75_stale_m,10,5.2286882400512695,0.7311461766560869,687.7767599800211
gpu_seed1101_ckpt75_stale_m,11,5.598433017730713,0.12731250127156546,114.1985164751278
