threshold,TP,FP,TN,FN,sensitivity,specificity,precision,recall,fpr
inf,0,0,56,43,0.0,1.0,1.0,0.0,0.0
10314.81347079328,1,0,56,42,0.023255813953488372,1.0,1.0,0.023255813953488372,0.0
3719.617977926028,2,0,56,41,0.046511627906976744,1.0,1.0,0.046511627906976744,0.0
1420.5031107516734,3,0,56,40,0.06976744186046512,1.0,1.0,0.06976744186046512,0.0
328.0856836746659,4,0,56,39,0.09302325581395349,1.0,1.0,0.09302325581395349,0.0
197.5265591477354,5,0,56,38,0.11627906976744186,1.0,1.0,0.11627906976744186,0.0
158.1762957838026,6,0,56,37,0.13953488372093023,1.0,1.0,0.13953488372093023,0.0
112.63860382758736,7,0,56,36,0.16279069767441862,1.0,1.0,0.16279069767441862,0.0
46.49138347237003,8,0,56,35,0.18604651162790697,1.0,1.0,0.18604651162790697,0.0
24.901338289802116,9,0,56,34,0.20930232558139536,1.0,1.0,0.20930232558139536,0.0
24.685353798371857,10,0,56,33,0.23255813953488372,1.0,1.0,0.23255813953488372,0.0
15.153780090974129,11,0,56,32,0.2558139534883721,1.0,1.0,0.2558139534883721,0.0
14.431540353278603,12,0,56,31,0.27906976744186046,1.0,1.0,0.27906976744186046,0.0
10.992731941029513,13,0,56,30,0.3023255813953488,1.0,1.0,0.3023255813953488,0.0
3.817948908754596,13,1,55,30,0.3023255813953488,0.9821428571428571,0.9285714285714286,0.3023255813953488,0.017857142857142856
1.4278965465528657,13,2,54,30,0.3023255813953488,0.9642857142857143,0.8666666666666667,0.3023255813953488,0.03571428571428571
1.1139714007231638,13,3,53,30,0.3023255813953488,0.9464285714285714,0.8125,0.3023255813953488,0.05357142857142857
0.11945296234220862,14,3,53,29,0.32558139534883723,0.9464285714285714,0.8235294117647058,0.32558139534883723,0.05357142857142857
0.11730042191390844,15,3,53,28,0.3488372093023256,0.9464285714285714,0.8333333333333334,0.3488372093023256,0.05357142857142857
0.11602177711867073,16,3,53,27,0.37209302325581395,0.9464285714285714,0.8421052631578947,0.37209302325581395,0.05357142857142857
0.11359127024176795,17,3,53,26,0.3953488372093023,0.9464285714285714,0.85,0.3953488372093023,0.05357142857142857
0.1135126241998365,18,3,53,25,0.4186046511627907,0.9464285714285714,0.8571428571428571,0.4186046511627907,0.05357142857142857
0.11257042461876053,19,3,53,24,0.4418604651162791,0.9464285714285714,0.8636363636363636,0.4418604651162791,0.05357142857142857
0.1118397909369246,20,3,53,23,0.46511627906976744,0.9464285714285714,0.8695652173913043,0.46511627906976744,0.05357142857142857
0.108816636894499,21,3,53,22,0.4883720930232558,0.9464285714285714,0.875,0.4883720930232558,0.05357142857142857
0.10805862102635082,22,3,53,21,0.5116279069767442,0.9464285714285714,0.88,0.5116279069767442,0.05357142857142857
0.06813554931907675,23,3,53,20,0.5348837209302325,0.9464285714285714,0.8846153846153846,0.5348837209302325,0.05357142857142857
0.05952079414950627,24,3,53,19,0.5581395348837209,0.9464285714285714,0.8888888888888888,0.5581395348837209,0.05357142857142857
0.056775546058623165,25,3,53,18,0.5813953488372093,0.9464285714285714,0.8928571428571429,0.5813953488372093,0.05357142857142857
0.05553404830012643,26,3,53,17,0.6046511627906976,0.9464285714285714,0.896551724137931,0.6046511627906976,0.05357142857142857
0.051610671547504226,27,3,53,16,0.627906976744186,0.9464285714285714,0.9,0.627906976744186,0.05357142857142857
0.04899426949629305,28,3,53,15,0.6511627906976745,0.9464285714285714,0.9032258064516129,0.6511627906976745,0.05357142857142857
0.0486872910683624,29,3,53,14,0.6744186046511628,0.9464285714285714,0.90625,0.6744186046511628,0.05357142857142857
0.04618835393227478,30,3,53,13,0.6976744186046512,0.9464285714285714,0.9090909090909091,0.6976744186046512,0.05357142857142857
0.046166881447928576,31,3,53,12,0.7209302325581395,0.9464285714285714,0.9117647058823529,0.7209302325581395,0.05357142857142857
0.04366913118130113,32,3,53,11,0.7441860465116279,0.9464285714285714,0.9142857142857143,0.7441860465116279,0.05357142857142857
0.03775406541064273,33,3,53,10,0.7674418604651163,0.9464285714285714,0.9166666666666666,0.7674418604651163,0.05357142857142857
0.03115721561192968,34,3,53,9,0.7906976744186046,0.9464285714285714,0.918918918918919,0.7906976744186046,0.05357142857142857
0.024364730805987594,35,3,53,8,0.813953488372093,0.9464285714285714,0.9210526315789473,0.813953488372093,0.05357142857142857
0.016905656491330072,36,3,53,7,0.8372093023255814,0.9464285714285714,0.9230769230769231,0.8372093023255814,0.05357142857142857
0.013577041727584125,37,3,53,6,0.8604651162790697,0.9464285714285714,0.925,0.8604651162790697,0.05357142857142857
0.0105918727479587,38,3,53,5,0.8837209302325582,0.9464285714285714,0.926829268292683,0.8837209302325582,0.05357142857142857
0.010161130636771185,39,3,53,4,0.9069767441860465,0.9464285714285714,0.9285714285714286,0.9069767441860465,0.05357142857142857
0.0099276676742482,40,3,53,3,0.9302325581395349,0.9464285714285714,0.9302325581395349,0.9302325581395349,0.05357142857142857
0.009096307949553286,40,4,52,3,0.9302325581395349,0.9285714285714286,0.9090909090909091,0.9302325581395349,0.07142857142857142
0.008858361406778783,40,5,51,3,0.9302325581395349,0.9107142857142857,0.8888888888888888,0.9302325581395349,0.08928571428571429
0.008611482795482548,40,6,50,3,0.9302325581395349,0.8928571428571429,0.8695652173913043,0.9302325581395349,0.10714285714285714
0.007692810081332336,41,6,50,2,0.9534883720930233,0.8928571428571429,0.8723404255319149,0.9534883720930233,0.10714285714285714
0.00753469998821109,42,6,50,1,0.9767441860465116,0.8928571428571429,0.875,0.9767441860465116,0.10714285714285714
0.007223224629232945,43,6,50,0,1.0,0.8928571428571429,0.8775510204081632,1.0,0.10714285714285714
0.0057847207995592185,43,7,49,0,1.0,0.875,0.86,1.0,0.125
0.005568780743612615,43,8,48,0,1.0,0.8571428571428571,0.8431372549019608,1.0,0.14285714285714285
0.0046595549063711125,43,9,47,0,1.0,0.8392857142857143,0.8269230769230769,1.0,0.16071428571428573
0.002756681329767725,43,10,46,0,1.0,0.8214285714285714,0.8113207547169812,1.0,0.17857142857142858
0.0025952467540996714,43,11,45,0,1.0,0.8035714285714286,0.7962962962962963,1.0,0.19642857142857142
0.0025295767469991595,43,12,44,0,1.0,0.7857142857142857,0.7818181818181819,1.0,0.21428571428571427
0.0014417565935481837,43,13,43,0,1.0,0.7678571428571429,0.7678571428571429,1.0,0.23214285714285715
0.0014300999222451004,43,14,42,0,1.0,0.75,0.7543859649122807,1.0,0.25
0.0014154649360602026,43,15,41,0,1.0,0.7321428571428571,0.7413793103448276,1.0,0.26785714285714285
0.0014141249547796754,43,16,40,0,1.0,0.7142857142857143,0.7288135593220338,1.0,0.2857142857142857
0.0013071121296642373,43,17,39,0,1.0,0.6964285714285714,0.7166666666666667,1.0,0.30357142857142855
0.0013059594593734908,43,18,38,0,1.0,0.6785714285714286,0.7049180327868853,1.0,0.32142857142857145
0.001059935911574948,43,19,37,0,1.0,0.6607142857142857,0.6935483870967742,1.0,0.3392857142857143
0.0010392966837109723,43,20,36,0,1.0,0.6428571428571429,0.6825396825396826,1.0,0.35714285714285715
0.0009402501024115354,43,21,35,0,1.0,0.625,0.671875,1.0,0.375
0.0009086943110428704,43,22,34,0,1.0,0.6071428571428571,0.6615384615384615,1.0,0.39285714285714285
0.0009046462521045557,43,23,33,0,1.0,0.5892857142857143,0.6515151515151515,1.0,0.4107142857142857
0.0008527147263095098,43,24,32,0,1.0,0.5714285714285714,0.6417910447761194,1.0,0.42857142857142855
9.878676944968895e-05,43,25,31,0,1.0,0.5535714285714286,0.6323529411764706,1.0,0.44642857142857145
9.626789596573611e-05,43,26,30,0,1.0,0.5357142857142857,0.6231884057971014,1.0,0.4642857142857143
9.520629487492295e-05,43,27,29,0,1.0,0.5178571428571429,0.6142857142857143,1.0,0.48214285714285715
7.976207361594106e-05,43,28,28,0,1.0,0.5,0.6056338028169014,1.0,0.5
7.820869590698494e-05,43,29,27,0,1.0,0.48214285714285715,0.5972222222222222,1.0,0.5178571428571429
7.767943471961552e-05,43,30,26,0,1.0,0.4642857142857143,0.589041095890411,1.0,0.5357142857142857
5.151454325707302e-05,43,31,25,0,1.0,0.44642857142857145,0.581081081081081,1.0,0.5535714285714286
4.7454458189977675e-05,43,32,24,0,1.0,0.42857142857142855,0.5733333333333334,1.0,0.5714285714285714
2.8656786272998124e-05,43,33,23,0,1.0,0.4107142857142857,0.5657894736842105,1.0,0.5892857142857143
2.5458896831215647e-05,43,34,22,0,1.0,0.39285714285714285,0.5584415584415584,1.0,0.6071428571428571
9.418341808244769e-06,43,35,21,0,1.0,0.375,0.5512820512820513,1.0,0.625
5.883516839104482e-06,43,36,20,0,1.0,0.35714285714285715,0.5443037974683544,1.0,0.6428571428571429
3.3218740121227246e-06,43,37,19,0,1.0,0.3392857142857143,0.5375,1.0,0.6607142857142857
3.1342267243105515e-06,43,38,18,0,1.0,0.32142857142857145,0.5308641975308642,1.0,0.6785714285714286
0.0,43,56,0,0,1.0,0.0,0.43434343434343436,1.0,1.0
-1e-12,43,56,0,0,1.0,0.0,0.43434343434343436,1.0,1.0
