row_id,rewrite_family,clean_cumulative_update_distance_proxy,alt_divergence_ratio,max_validation_loss_gap,task_damaged
gpu_seed1102_ckpt150_stale_mv,stale_mv,1.305376410484314,0.9999999999992338,0.26163593928019235,True
gpu_seed1102_ckpt150_model_current_optimizer_stale,model_current_optimizer_stale,1.2256934642791748,0.9999999999991841,0.21751141548156738,True
gpu_seed1102_ckpt150_step_counter_mismatch,step_counter_mismatch,0.15419438481330872,0.9999999999935146,0.08108067512512207,False
gpu_seed1102_ckpt150_scheduler_mismatch,scheduler_mismatch,0.0,0.0,0.0,False
gpu_seed1102_ckpt150_optimizer_reset,optimizer_reset,18.977853775024414,0.9999999999999474,15.818392912546793,True
gpu_seed1102_ckpt300_exact_restore,exact_restore,0.0,0.0,0.0,False
gpu_seed1102_ckpt300_benign_nonzero,benign_nonzero,0.0005632966640405357,1.000019838340237,5.7220458984375e-06,False
gpu_seed1102_ckpt300_reset_m,reset_m,0.17973896861076355,0.9999999999944363,0.024382273356119644,False
gpu_seed1102_ckpt300_reset_v,reset_v,4222.65234375,0.9999999999999998,36897.09794727961,True
gpu_seed1102_ckpt300_stale_m,stale_m,0.2425096482038498,0.9999999999958764,0.013368527094522964,False
gpu_seed1102_ckpt300_stale_v,stale_v,188.9020538330078,0.9999999999999948,0.0005867481231689453,False
gpu_seed1102_ckpt300_stale_mv,stale_mv,0.24448633193969727,0.9999999999959097,0.013389984766642105,False
gpu_seed1102_ckpt300_model_current_optimizer_stale,model_current_optimizer_stale,0.44008979201316833,0.9999999999977278,0.0506514708201089,False
gpu_seed1102_ckpt300_step_counter_mismatch,step_counter_mismatch,0.013262264430522919,0.9999999999245981,0.003410975138346206,False
gpu_seed1102_ckpt300_scheduler_mismatch,scheduler_mismatch,0.0,0.0,0.0,False
gpu_seed1102_ckpt300_optimizer_reset,optimizer_reset,18.45261573791504,0.9999999999999459,15.716391722361248,True
gpu_seed1103_ckpt75_exact_restore,exact_restore,0.0,0.0,0.0,False
gpu_seed1103_ckpt75_benign_nonzero,benign_nonzero,0.01678213384002447,1.0000006103841395,9.473164876361295e-05,False
gpu_seed1103_ckpt75_reset_m,reset_m,7.842945575714111,0.9999999999998724,2.2312493324279785,True
gpu_seed1103_ckpt75_reset_v,reset_v,1752306.375,1.0,5297194489164.071,True
gpu_seed1103_ckpt75_stale_m,stale_m,9.645172119140625,0.9999999999998963,4.009777704874675,True
gpu_seed1103_ckpt75_stale_v,stale_v,2451.666259765625,0.9999999999999997,39.58326498667399,True
gpu_seed1103_ckpt75_stale_mv,stale_mv,11.575037956237793,0.9999999999999136,2.8921505610148115,True
gpu_seed1103_ckpt75_model_current_optimizer_stale,model_current_optimizer_stale,10.111541748046875,0.9999999999999011,3.2127803166707363,True
gpu_seed1103_ckpt75_step_counter_mismatch,step_counter_mismatch,4.13914155960083,0.9999999999997584,3.4227280616760254,True
gpu_seed1103_ckpt75_scheduler_mismatch,scheduler_mismatch,0.0,0.0,0.0,False
gpu_seed1103_ckpt75_optimizer_reset,optimizer_reset,20.29296875,0.9999999999999508,20.240383466084797,True
gpu_seed1103_ckpt150_exact_restore,exact_restore,0.0,0.0,0.0,False
gpu_seed1103_ckpt150_benign_nonzero,benign_nonzero,0.0016029267571866512,1.0000058095141893,1.5894571969710114e-07,False
gpu_seed1103_ckpt150_reset_m,reset_m,0.9845191240310669,0.9999999999989843,0.2718773682912192,False
gpu_seed1103_ckpt150_reset_v,reset_v,55837.89453125,1.0,198505799.25498357,True
gpu_seed1103_ckpt150_stale_m,stale_m,1.7293535470962524,0.9999999999994217,0.2615880171457925,True
gpu_seed1103_ckpt150_stale_v,stale_v,649.7882690429688,0.9999999999999984,0.015167872111002456,False
gpu_seed1103_ckpt150_stale_mv,stale_mv,1.8026628494262695,0.9999999999994452,0.2613268693288169,True
gpu_seed1103_ckpt150_model_current_optimizer_stale,model_current_optimizer_stale,1.689619779586792,0.9999999999994081,0.2603542009989419,True
gpu_seed1103_ckpt150_step_counter_mismatch,step_counter_mismatch,0.17688104510307312,0.9999999999943464,0.07301831245422363,False
gpu_seed1103_ckpt150_scheduler_mismatch,scheduler_mismatch,0.0,0.0,0.0,False
gpu_seed1103_ckpt150_optimizer_reset,optimizer_reset,19.158700942993164,0.9999999999999479,11.935049136479696,True
gpu_seed1103_ckpt300_exact_restore,exact_restore,0.0,0.0,0.0,False
