scenario_family,scenario_name,step,divergence,loss_gap,bound_clean,bound_rewritten,bound_max
stale_adam_moments,stale_by_10,0,0.0,0.0,1532788.875,1532788.875,1532788.875
stale_adam_moments,stale_by_10,1,1.2013354301452637,0.040552616119384766,3307566.132478528,4590117.53857222,4590117.53857222
stale_adam_moments,stale_by_10,2,2.1183526515960693,,7137312.841417229,13745649.750953661,13745649.750953661
stale_adam_moments,stale_by_25,0,0.0,0.0,1532788.875,1532788.875,1532788.875
stale_adam_moments,stale_by_25,1,1.2013354301452637,0.040552616119384766,3307566.132478528,4594699.943078323,4594699.943078323
stale_adam_moments,stale_by_25,2,2.1183526515960693,,7137312.841417229,13773108.554773368,13773108.554773368
moment_reset,reset_m_only,0,0.0,0.0,27047.212890625,27047.212890625,27047.212890625
moment_reset,reset_m_only,1,0.7779378294944763,0.3091866970062256,58364.492849654795,58330.971419183355,58364.492849654795
moment_reset,reset_m_only,2,1.5630760192871094,,125943.25483266795,125798.62629339335,125943.25483266795
moment_reset,reset_v_only,0,0.0,0.0,1532550.25,1532550.25,1532550.25
moment_reset,reset_v_only,1,497557216.0,1440.4934084415436,3307051.209659583,82757329693.36252,82757329693.36252
moment_reset,reset_v_only,2,884617728.0,,7136201.702561407,4468875077979271.5,4468875077979271.5
moment_reset,reset_m_and_v,0,0.0,0.0,1532788.875,1532788.875,1532788.875
moment_reset,reset_m_and_v,1,1.2013354301452637,0.040552616119384766,3307566.132478528,4607724.251609674,4607724.251609674
moment_reset,reset_m_and_v,2,2.1183526515960693,,7137312.841417229,13851302.762666471,13851302.762666471
scheduler_mismatch,lr_2x,0,0.0,0.0,0.0,0.0,0.0
scheduler_mismatch,lr_2x,1,0.8444017171859741,0.03053593635559082,0.0,0.0,0.0
scheduler_mismatch,lr_2x,2,1.6528911590576172,,0.0,0.0,0.0
scheduler_mismatch,lr_10x,0,0.0,0.0,0.0,0.0,0.0
scheduler_mismatch,lr_10x,1,7.6008219718933105,0.06971573829650879,0.0,0.0,0.0
scheduler_mismatch,lr_10x,2,14.071359634399414,,0.0,0.0,0.0
ema_as_parameters,ema_decay_0.9,0,3.607440948486328,0.1180872917175293,3.607440948486328,3.607440948486328,3.607440948486328
ema_as_parameters,ema_decay_0.9,1,3.7856595516204834,0.2554652690887451,7.784405080660307,8.259148771965558,8.259148771965558
ema_as_parameters,ema_decay_0.9,2,4.050830364227295,,16.797769755659154,18.909121288896607,18.909121288896607
ema_as_parameters,ema_decay_0.999,0,4.7997026443481445,0.02168416976928711,4.7997026443481445,4.7997026443481445,4.7997026443481445
ema_as_parameters,ema_decay_0.999,1,4.921177387237549,0.12424063682556152,10.357156273341008,10.767750431216978,10.767750431216978
ema_as_parameters,ema_decay_0.999,2,5.172255039215088,,22.34944412581951,24.156590093243167,24.156590093243167
synthetic_lora_moment_freeze,freeze_frac_0.25,0,0.0,0.0,1528955.0,1528955.0,1528955.0
synthetic_lora_moment_freeze,freeze_frac_0.25,1,1.0043493509292603,0.010522127151489258,3299293.111116629,4323370.638355087,4323370.638355087
synthetic_lora_moment_freeze,freeze_frac_0.25,2,1.7494111061096191,,7119460.699014454,12225038.45867986,12225038.45867986
synthetic_lora_moment_freeze,freeze_frac_1,0,0.0,0.0,1532788.875,1532788.875,1532788.875
synthetic_lora_moment_freeze,freeze_frac_1,1,1.2013354301452637,0.040552616119384766,3307566.132478528,4574914.247381643,4574914.247381643
synthetic_lora_moment_freeze,freeze_frac_1,2,2.1183526515960693,,7137312.841417229,13654744.44149756,13654744.44149756
