scenario_family,scenario_name,severity,delta,L_clean,L_rewritten,L_max,bound_holds_clean,bound_holds_rewritten,bound_holds_max,max_bound_ratio_clean,max_bound_ratio_rewritten,max_bound_ratio_max,first_violation_step_clean,first_violation_step_rewritten,first_violation_step_max,actual_final_divergence,actual_max_divergence,final_loss_gap,max_loss_gap,actual_dangerous,false_negative_clean,false_negative_rewritten,false_negative_max,notes
stale_adam_moments,stale_by_10,10,1532788.875,2.157874568654165,2.9946182500654044,2.9946182500654044,True,True,True,3.6320828731096047e-07,2.6172214982515356e-07,2.6172214982515356e-07,,,,2.1183526515960693,2.1183526515960693,0.040552616119384766,0.040552616119384766,True,False,False,False,Adam moments from step 0; requested stale_by=10
stale_adam_moments,stale_by_25,25,1532788.875,2.157874568654165,2.997607836290124,2.997607836290124,True,True,True,3.6320828731096047e-07,2.6146112804493645e-07,2.6146112804493645e-07,,,,2.1183526515960693,2.1183526515960693,0.040552616119384766,0.040552616119384766,True,False,False,False,Adam moments from step 0; requested stale_by=25
moment_reset,reset_m_only,m,27047.212890625,2.157874568654165,2.156635201381574,2.157874568654165,True,True,True,1.3328957239437017e-05,1.3336617076098192e-05,1.3328957239437017e-05,,,,1.5630760192871094,1.5630760192871094,0.3091866970062256,0.3091866970062256,True,False,False,False,Reset first Adam moment only
moment_reset,reset_v_only,v,1532550.25,2.157874568654165,53999.74956342381,53999.74956342381,False,True,True,150.45343554000087,0.006012243481557213,0.006012243481557213,1,,,884617728.0,884617728.0,1440.4934084415436,1440.4934084415436,True,False,False,False,Reset second Adam moment only
moment_reset,reset_m_and_v,m+v,1532788.875,2.157874568654165,3.0061049677240606,3.0061049677240606,True,True,True,3.6320828731096047e-07,2.607220754856557e-07,2.607220754856557e-07,,,,2.1183526515960693,2.1183526515960693,0.040552616119384766,0.040552616119384766,True,False,False,False,Reset both Adam moments
scheduler_mismatch,lr_2x,2x,0.0,2.157874568654165,2.9776375364587864,2.9776375364587864,True,True,True,0.0,0.0,0.0,,,,1.6528911590576172,1.6528911590576172,0.03053593635559082,0.03053593635559082,True,False,False,False,State unchanged; resume schedule uses multiplied learning rate
scheduler_mismatch,lr_10x,10x,0.0,2.157874568654165,6.881488967147721,6.881488967147721,True,True,True,0.0,0.0,0.0,,,,14.071359634399414,14.071359634399414,0.06971573829650879,0.06971573829650879,True,False,False,False,State unchanged; resume schedule uses multiplied learning rate
ema_as_parameters,ema_decay_0.9,0.9,3.607440948486328,2.157874568654165,2.2894758056763407,2.2894758056763407,True,True,True,1.0,1.0,1.0,,,,4.050830364227295,4.050830364227295,0.2554652690887451,0.2554652690887451,True,False,False,False,Synthetic EMA shadow loaded as model parameters
ema_as_parameters,ema_decay_0.999,0.999,4.7997026443481445,2.157874568654165,2.243420317693319,2.243420317693319,True,True,True,1.0,1.0,1.0,,,,5.172255039215088,5.172255039215088,0.12424063682556152,0.12424063682556152,True,False,False,False,Synthetic EMA shadow loaded as model parameters
synthetic_lora_moment_freeze,freeze_frac_0.25,0.25,1528955.0,2.157874568654165,2.827663756196282,2.827663756196282,True,True,True,3.044134961956573e-07,2.323070203648756e-07,2.323070203648756e-07,,,,1.7494111061096191,1.7494111061096191,0.010522127151489258,0.010522127151489258,True,False,False,False,"Synthetic optimizer-row freezing, not real LoRA adapter training"
synthetic_lora_moment_freeze,freeze_frac_1,1,1532788.875,2.157874568654165,2.9846995382072063,2.9846995382072063,True,True,True,3.6320828731096047e-07,2.6259190122149783e-07,2.6259190122149783e-07,,,,2.1183526515960693,2.1183526515960693,0.040552616119384766,0.040552616119384766,True,False,False,False,"Synthetic optimizer-row freezing, not real LoRA adapter training"
