row_id,source_seed,checkpoint_age,future_schedule_seed,T_tau,censored,task_recovery_step,task_nonrecovered_h20,task_nonrecovered_h100,max_validation_loss_gap,final_validation_loss_gap,max_function_kl,final_function_kl
gpu_seed1101_ckpt75_optimizer_reset,1101,75,8101,15,False,,True,True,23.357378482818604,0.7674855391184492,32.10210037231445,1.021823525428772
gpu_seed1101_ckpt75_optimizer_reset,1101,75,8102,15,False,,True,True,16.42249854405721,0.2801520824432373,27.033105850219727,0.9600790143013
gpu_seed1101_ckpt75_optimizer_reset,1101,75,8103,15,False,,True,True,18.803804715474445,0.3085914452870684,21.33665657043457,0.701363742351532
gpu_seed1101_ckpt75_optimizer_reset,1101,75,8104,16,False,,True,True,18.77248700459798,0.9134492079416909,33.30142593383789,0.9311561584472656
gpu_seed1101_ckpt75_optimizer_reset,1101,75,8105,15,False,,True,True,16.96533568700155,0.2733548482259116,24.203651428222656,0.7388648986816406
gpu_seed1101_ckpt150_optimizer_reset,1101,150,8101,17,False,,True,True,14.482961177825928,0.5411500930786133,14.55596923828125,0.6956118941307068
gpu_seed1101_ckpt150_optimizer_reset,1101,150,8102,17,False,,True,True,14.908351262410482,0.8698305288950605,19.98731231689453,0.9721846580505371
gpu_seed1101_ckpt150_optimizer_reset,1101,150,8103,17,False,,True,True,14.392185449600218,0.5544279416402178,22.844676971435547,1.0194581747055054
gpu_seed1101_ckpt150_optimizer_reset,1101,150,8104,17,False,,True,True,13.080248991648356,0.641141970952352,18.51013946533203,0.8878386616706848
gpu_seed1101_ckpt150_optimizer_reset,1101,150,8105,17,False,,True,True,19.460735241572063,0.5277022520701089,22.87925148010254,0.716106116771698
gpu_seed1101_ckpt300_optimizer_reset,1101,300,8101,18,False,,True,True,12.854285637537638,1.1876262029012046,12.720491409301758,1.766858696937561
gpu_seed1101_ckpt300_optimizer_reset,1101,300,8102,17,False,,True,True,19.77418287595113,1.2363998889923096,19.2882080078125,1.7456163167953491
gpu_seed1101_ckpt300_optimizer_reset,1101,300,8103,17,False,,True,True,11.970142523447672,1.0707699457804365,16.772863388061523,1.0834150314331055
gpu_seed1101_ckpt300_optimizer_reset,1101,300,8104,17,False,,True,True,19.22162922223409,0.8623439470926919,21.514341354370117,0.8748310804367065
gpu_seed1101_ckpt300_optimizer_reset,1101,300,8105,17,False,,True,True,17.467610041300453,1.3946382999420166,19.77424430847168,2.2103042602539062
gpu_seed1102_ckpt75_optimizer_reset,1102,75,8101,15,False,,True,True,18.827347596486412,0.7346706390380859,20.17519760131836,0.8050510883331299
gpu_seed1102_ckpt75_optimizer_reset,1102,75,8102,15,False,,True,True,18.049146016438804,0.34337735176086426,30.727161407470703,0.43906569480895996
gpu_seed1102_ckpt75_optimizer_reset,1102,75,8103,16,False,,True,True,15.685644626617432,0.48831701278686523,19.42640495300293,0.7058653235435486
gpu_seed1102_ckpt75_optimizer_reset,1102,75,8104,15,False,,True,True,17.919148127237957,1.0086027781168623,29.421878814697266,2.751394271850586
gpu_seed1102_ckpt75_optimizer_reset,1102,75,8105,15,False,,True,True,23.35384464263916,0.12400650978088379,28.867361068725586,0.6076440811157227
gpu_seed1102_ckpt150_optimizer_reset,1102,150,8101,17,False,,True,True,18.487966855367024,0.37575221061706543,17.64787483215332,0.7285329699516296
gpu_seed1102_ckpt150_optimizer_reset,1102,150,8102,17,False,,True,True,15.314616203308107,0.5631757577260337,20.683303833007812,0.7253147959709167
gpu_seed1102_ckpt150_optimizer_reset,1102,150,8103,17,False,,True,True,16.331281026204426,0.35768191019693996,17.124940872192383,0.7584587335586548
gpu_seed1102_ckpt150_optimizer_reset,1102,150,8104,17,False,,True,True,13.819238265355429,0.35649410883585597,18.90251350402832,0.6273621916770935
gpu_seed1102_ckpt150_optimizer_reset,1102,150,8105,17,False,,True,True,20.057019392649334,0.2998281319936118,24.627910614013672,0.4940812885761261
gpu_seed1102_ckpt300_optimizer_reset,1102,300,8101,17,False,,True,True,21.097283522288006,0.7987360954284668,22.417951583862305,0.8442144989967346
gpu_seed1102_ckpt300_optimizer_reset,1102,300,8102,17,False,,True,True,23.63999644915263,1.363163391749064,26.555011749267578,1.4255356788635254
gpu_seed1102_ckpt300_optimizer_reset,1102,300,8103,17,False,,True,True,15.227513710657755,1.5965332984924316,15.99322509765625,1.5723811388015747
gpu_seed1102_ckpt300_optimizer_reset,1102,300,8104,17,False,,True,True,12.877280235290527,1.0943240324656167,16.517854690551758,1.2720413208007812
gpu_seed1102_ckpt300_optimizer_reset,1102,300,8105,17,False,,True,True,22.56691805521647,0.9120699564615884,25.999643325805664,1.040378451347351
gpu_seed1103_ckpt75_optimizer_reset,1103,75,8101,14,False,64,True,False,15.033167839050293,0.00099698702494333,23.324979782104492,0.8253287672996521
gpu_seed1103_ckpt75_optimizer_reset,1103,75,8102,14,False,,True,True,14.072140057881674,0.31252074241638184,21.17536735534668,1.0244568586349487
gpu_seed1103_ckpt75_optimizer_reset,1103,75,8103,14,False,,True,True,16.455878098805744,0.09785834948221872,26.733436584472656,1.3379002809524536
