row_id,seed,checkpoint_age,rewrite_family,metric,value,max_validation_loss_gap,task_nonrecovered_h100
gpu_seed1102_ckpt75_scheduler_mismatch,1102,75,scheduler_mismatch,original_global_parameter_divergence,0.038493506760481765,1.2174548308054605,False
gpu_seed1102_ckpt75_optimizer_reset,1102,75,optimizer_reset,original_global_parameter_divergence,0.14527933410229585,17.087776025136314,True
gpu_seed1102_ckpt150_exact_restore,1102,150,exact_restore,original_global_parameter_divergence,0.0,0.0,False
gpu_seed1102_ckpt150_benign_nonzero,1102,150,benign_nonzero,original_global_parameter_divergence,0.0006273608297099274,0.0027222633361816406,False
gpu_seed1102_ckpt150_reset_m,1102,150,reset_m,original_global_parameter_divergence,0.006492432889166913,0.1603846549987793,False
gpu_seed1102_ckpt150_reset_v,1102,150,reset_v,original_global_parameter_divergence,174.1148519577167,1446966.7512911956,True
gpu_seed1102_ckpt150_stale_m,1102,150,stale_m,original_global_parameter_divergence,0.01098658653782214,0.2588688532511396,False
gpu_seed1102_ckpt150_stale_v,1102,150,stale_v,original_global_parameter_divergence,52.73386820551108,239.0240318775177,True
gpu_seed1102_ckpt150_stale_mv,1102,150,stale_mv,original_global_parameter_divergence,0.011225436851289511,0.26163593928019235,False
gpu_seed1102_ckpt150_model_current_optimizer_stale,1102,150,model_current_optimizer_stale,original_global_parameter_divergence,0.01031439661147579,0.21751141548156738,False
gpu_seed1102_ckpt150_step_counter_mismatch,1102,150,step_counter_mismatch,original_global_parameter_divergence,0.0026770189008820454,0.08108067512512207,False
gpu_seed1102_ckpt150_scheduler_mismatch,1102,150,scheduler_mismatch,original_global_parameter_divergence,0.007664357588665208,0.22400291760762547,False
gpu_seed1102_ckpt150_optimizer_reset,1102,150,optimizer_reset,original_global_parameter_divergence,0.1548506418322364,15.818392912546793,True
gpu_seed1102_ckpt300_exact_restore,1102,300,exact_restore,original_global_parameter_divergence,0.0,0.0,False
gpu_seed1102_ckpt300_benign_nonzero,1102,300,benign_nonzero,original_global_parameter_divergence,0.00016111766753987427,0.0007987022399902344,False
gpu_seed1102_ckpt300_reset_m,1102,300,reset_m,original_global_parameter_divergence,0.0013011986736726176,0.024382273356119644,False
gpu_seed1102_ckpt300_reset_v,1102,300,reset_v,original_global_parameter_divergence,27.091430693860996,36897.09794727961,True
gpu_seed1102_ckpt300_stale_m,1102,300,stale_m,original_global_parameter_divergence,0.0016698983969532745,0.013368527094522964,False
gpu_seed1102_ckpt300_stale_v,1102,300,stale_v,original_global_parameter_divergence,1.1661680007631647,0.002119302749633789,False
gpu_seed1102_ckpt300_stale_mv,1102,300,stale_mv,original_global_parameter_divergence,0.0017128328684255594,0.013389984766642105,False
gpu_seed1102_ckpt300_model_current_optimizer_stale,1102,300,model_current_optimizer_stale,original_global_parameter_divergence,0.006087124609187027,0.14052136739095022,False
gpu_seed1102_ckpt300_step_counter_mismatch,1102,300,step_counter_mismatch,original_global_parameter_divergence,0.00036079218122541767,0.005372762680053711,False
gpu_seed1102_ckpt300_scheduler_mismatch,1102,300,scheduler_mismatch,original_global_parameter_divergence,0.0,0.0,False
gpu_seed1102_ckpt300_optimizer_reset,1102,300,optimizer_reset,original_global_parameter_divergence,0.1720233165608829,15.716391722361248,True
gpu_seed1103_ckpt75_exact_restore,1103,75,exact_restore,original_global_parameter_divergence,0.0,0.0,False
gpu_seed1103_ckpt75_benign_nonzero,1103,75,benign_nonzero,original_global_parameter_divergence,0.0019641889115081493,0.010903596878051758,False
gpu_seed1103_ckpt75_reset_m,1103,75,reset_m,original_global_parameter_divergence,0.07333197708945503,2.2312493324279785,True
gpu_seed1103_ckpt75_reset_v,1103,75,reset_v,original_global_parameter_divergence,11240.417280715852,5297194489164.071,True
gpu_seed1103_ckpt75_stale_m,1103,75,stale_m,original_global_parameter_divergence,0.08264223531009234,4.009777704874675,False
gpu_seed1103_ckpt75_stale_v,1103,75,stale_v,original_global_parameter_divergence,14.421333203138623,39.58326498667399,True
gpu_seed1103_ckpt75_stale_mv,1103,75,stale_mv,original_global_parameter_divergence,0.09936399536432883,2.8921505610148115,False
gpu_seed1103_ckpt75_model_current_optimizer_stale,1103,75,model_current_optimizer_stale,original_global_parameter_divergence,0.0872810134323334,3.2127803166707363,False
gpu_seed1103_ckpt75_step_counter_mismatch,1103,75,step_counter_mismatch,original_global_parameter_divergence,0.05379354478472218,3.4227280616760254,True
gpu_seed1103_ckpt75_scheduler_mismatch,1103,75,scheduler_mismatch,original_global_parameter_divergence,0.059047737077098594,1.6700375080108647,False
gpu_seed1103_ckpt75_optimizer_reset,1103,75,optimizer_reset,original_global_parameter_divergence,0.1507174959409154,20.240383466084797,True
gpu_seed1103_ckpt150_exact_restore,1103,150,exact_restore,original_global_parameter_divergence,0.0,0.0,False
gpu_seed1103_ckpt150_benign_nonzero,1103,150,benign_nonzero,original_global_parameter_divergence,0.0005703477141970507,0.005493323008219253,False
gpu_seed1103_ckpt150_reset_m,1103,150,reset_m,original_global_parameter_divergence,0.010197087886371584,0.2718773682912192,False
gpu_seed1103_ckpt150_reset_v,1103,150,reset_v,original_global_parameter_divergence,359.8889169289466,198505799.25498357,True
gpu_seed1103_ckpt150_stale_m,1103,150,stale_m,original_global_parameter_divergence,0.01522096530190401,0.2615880171457925,False
gpu_seed1103_ckpt150_stale_v,1103,150,stale_v,original_global_parameter_divergence,3.8150853909406734,0.017034292221069336,False
gpu_seed1103_ckpt150_stale_mv,1103,150,stale_mv,original_global_parameter_divergence,0.015985768012311732,0.2613268693288169,False
gpu_seed1103_ckpt150_model_current_optimizer_stale,1103,150,model_current_optimizer_stale,original_global_parameter_divergence,0.014907639469510648,0.2603542009989419,False
gpu_seed1103_ckpt150_step_counter_mismatch,1103,150,step_counter_mismatch,original_global_parameter_divergence,0.003010095594543763,0.07301831245422363,False
gpu_seed1103_ckpt150_scheduler_mismatch,1103,150,scheduler_mismatch,original_global_parameter_divergence,0.009835701878531658,0.366447607676188,False
gpu_seed1103_ckpt150_optimizer_reset,1103,150,optimizer_reset,original_global_parameter_divergence,0.1596711532554097,11.935049136479696,True
gpu_seed1103_ckpt300_exact_restore,1103,300,exact_restore,original_global_parameter_divergence,0.0,0.0,False
gpu_seed1103_ckpt300_benign_nonzero,1103,300,benign_nonzero,original_global_parameter_divergence,0.0001422961304275438,0.0005785624186196436,False
gpu_seed1103_ckpt300_reset_m,1103,300,reset_m,original_global_parameter_divergence,0.001140854550058488,0.027867237726847183,False
gpu_seed1103_ckpt300_reset_v,1103,300,reset_v,original_global_parameter_divergence,26.731189082090605,7959.604056358337,True
gpu_seed1103_ckpt300_stale_m,1103,300,stale_m,original_global_parameter_divergence,0.0016363096989683822,0.032987991968790986,False
gpu_seed1103_ckpt300_stale_v,1103,300,stale_v,original_global_parameter_divergence,0.0002504852630222444,0.0008976459503173828,False
gpu_seed1103_ckpt300_stale_mv,1103,300,stale_mv,original_global_parameter_divergence,0.0016423600732437856,0.03308892250061035,False
gpu_seed1103_ckpt300_model_current_optimizer_stale,1103,300,model_current_optimizer_stale,original_global_parameter_divergence,0.00630426729469597,0.09729599952697754,False
