seed,checkpoint_age,cohort,rewrite_family,T_tau,crossed_H20,crossed_H100,first_step_S1,candidate_update_norm,clean_update_norm,update_cosine,heldout_task_gap_H100,max_heldout_task_gap_H100
1101,75,primary,exact_restore,,False,False,0.0,0.44556429982185364,0.44556429982185364,0.9999999403953552,0.0,0.0
1101,75,primary,benign_nonzero,,False,False,0.0010459033594829583,0.44556424021720886,0.44556429982185364,0.9999994039535522,0.0009171168009438624,0.009787480036417495
1101,75,primary,reset_m,,False,False,0.9603465586808511,0.13981789350509644,0.44556429982185364,0.2807599902153015,0.0351947148640952,2.8400611877441397
1101,75,primary,reset_v,1.0,True,True,209869.59340027385,93510.4609375,0.44556429982185364,0.13952742516994476,549046015314.3314,902571338402.5378
1101,75,primary,stale_m,,False,False,1.6073221397525252,0.6240314841270447,0.44556429982185364,0.13495948910713196,0.05275241533915187,2.221336205800375
1101,75,primary,stale_v,1.0,True,True,623.8144819976185,277.9555358886719,0.44556429982185364,0.014528658241033554,0.14118615786234523,0.995755672454834
1101,75,primary,stale_mv,,False,False,1.8046013629995958,0.7329822182655334,0.44556429982185364,0.13666701316833496,0.05477031071980809,4.193554719289144
1101,75,primary,model_current_optimizer_stale,,False,False,1.575529824538623,0.6067718863487244,0.44556429982185364,0.13666413724422455,0.0007515748341879736,2.483825524648031
1101,75,primary,optimizer_reset,15.0,True,True,8.057955981448147,3.6302478313446045,0.44556429982185364,0.15044857561588287,0.4192589124043784,11.42514975865682
1101,150,primary,exact_restore,,False,False,0.0,0.11851271986961365,0.11851271986961365,0.9999998211860657,0.0,0.0
1101,150,primary,benign_nonzero,,False,False,0.0,0.11851271986961365,0.11851271986961365,0.9999998211860657,0.0016144116719565282,0.0032010873158774267
1101,150,primary,reset_m,,False,False,0.929982998146116,0.05454392358660698,0.11851271986961365,0.37692511081695557,0.01919452349344919,0.30150270462036133
1101,150,primary,reset_v,1.0,True,True,52393.90131944534,6209.353515625,0.11851271986961365,0.08206459879875183,295970.5318374634,19182021.433674574
1101,150,primary,stale_m,,False,False,1.5020000618487983,0.15354952216148376,0.11851271986961365,0.16311366856098175,0.009506622950236299,0.29875747362772653
1101,150,primary,stale_v,1.0,True,True,232.93780180846326,27.6072940826416,0.11851271986961365,0.012256313115358353,3.822644551609855e-05,0.010845104853312026
1101,150,primary,stale_mv,,False,False,1.5436122120450837,0.15991778671741486,0.11851271986961365,0.16232247650623322,0.010103861490885713,0.302662531534831
1101,150,primary,model_current_optimizer_stale,,False,False,1.4613033859979743,0.14697666466236115,0.11851271986961365,0.16232755780220032,0.00805584589640329,0.2859179973602295
1101,150,primary,optimizer_reset,,False,False,14.476442472355151,1.7356780767440796,0.11851271986961365,0.20222210884094238,0.09168593088785837,10.348627805709839
1101,300,primary,exact_restore,,False,False,0.0,0.022198202088475227,0.022198202088475227,1.0000005960464478,0.0,0.0
1101,300,primary,benign_nonzero,,False,False,0.0,0.022198202088475227,0.022198202088475227,1.0000005960464478,0.00020003318786621094,0.0009058316548666845
1101,300,primary,reset_m,,False,False,0.9114724655263718,0.01038910262286663,0.022198202088475227,0.4147901237010956,0.00452001889546727,0.010982513427734375
1101,300,primary,reset_v,1.0,True,True,34618.650585317715,768.4735107421875,0.022198202088475227,0.07969830185174942,78.25650151570638,3673.7456709543862
1101,300,primary,stale_m,,False,False,1.3601873837919256,0.02339092642068863,0.022198202088475227,0.12348451465368271,0.005336125691731919,0.030106623967488755
1101,300,primary,stale_v,,False,False,0.022337174006545113,0.022263679653406143,0.022198202088475227,0.9997556209564209,0.0002560615539550781,0.0008691946665448924
1101,300,primary,stale_mv,,False,False,1.3606954572085534,0.023390572518110275,0.022198202088475227,0.12281438708305359,0.0054759979248046875,0.029934167861938477
