rewrite_family,seed_units,checkpoint_rows_repeated_measures,H20_seed_count_any_age,H100_seed_count_any_age,T_tau_median_across_checkpoint_rows,first_step_S1_seed_median,candidate_update_norm_seed_median,clean_update_norm_seed_median,update_cosine_seed_median,heldout_task_gap_H100_seed_median
exact_restore,6,18,0,0,,0.0,0.11316736042499542,0.11316736042499542,0.9999999105930328,0.0
benign_nonzero,6,18,0,0,,0.0,0.11316735669970512,0.11316736042499542,0.9999997615814209,0.0009043614069619288
reset_m,6,18,0,0,,0.9249336730486302,0.04873982444405556,0.11316736042499542,0.4018681049346924,0.013061483701070298
reset_v,6,18,6,6,1.0,53280.7452006737,5615.367919921875,0.11316736042499542,0.08591240644454956,164024.54001919428
stale_m,6,18,0,0,,1.4471779280740822,0.13996519893407822,0.11316736042499542,0.1734219342470169,0.007782896359761704
stale_v,6,18,6,6,1.0,729.7681401938605,80.55117416381836,0.11316736042499542,0.03527968842536211,0.0023736159006753077
stale_mv,6,18,0,0,,1.5235526130365251,0.14388849586248398,0.11316736042499542,0.1749851107597351,0.008714914321899636
model_current_optimizer_stale,6,18,0,0,,1.6156803933141985,0.1322447657585144,0.11316736042499542,0.17499012500047684,0.027063965797424094
optimizer_reset,6,18,6,6,15.0,15.196774028970497,1.7370902299880981,0.11316736042499542,0.22403838485479355,0.11742842197418235
