direction,target_delta,actual_delta,L_pred,regime,final_divergence,max_divergence,final_loss_gap,max_loss_gap,bound_holds,median_tightness,final_tightness
trajectory_aligned,0.03,0.030000001192092896,1.0439347876303624,expansive,0.003160700434818864,0.030000001192092896,3.6711587199533824e-05,0.0034755696542561054,True,0.001615129061974585,2.2610988404626476e-06
gradient_aligned,0.03,0.029999999329447746,1.0439347876303624,expansive,0.004195555578917265,0.03182391822338104,8.907050505513325e-05,0.007417056709527969,True,0.002089487621560693,3.0014127055775935e-06
random_gaussian,0.03,0.030000001192092896,1.0439347876303624,expansive,0.001955631887540221,0.030000001192092896,3.551562986103818e-05,0.00398671068251133,True,0.0009923718171194196,1.3990180608629512e-06
top_hessian,0.03,0.030000001192092896,1.0439347876303624,expansive,0.0014920001849532127,0.030000001192092896,2.562627923907712e-05,0.0062161777168512344,True,0.0007241939892992377,1.0673456588938332e-06
bottom_hessian,0.03,0.029999999329447746,1.0439347876303624,expansive,0.00032878885394893587,0.030000001192092896,4.3376057874411345e-06,0.0004320899024605751,True,0.000475698325317353,2.3520866906244167e-07
